fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Pt,Qt
8,11,0.000158062,0.001692798,0.142588761,2172,2172,2172,0,0,1,-30,30,197.151842077,-53.5344271758,-197.086721931,40.0263562339
8,14,0.000269282,0.002883925,0.242920462,2172,2172,2172,0,0,1,-30,30,-301.040710995,-116.480120892,301.315250794,95.1370717328
9,12,0.000119405,0.000137466,0.167672111,708,708,708,0,0,1,-30,30,175.962474511,-74.9434715067,-175.920373729,58.1648577987
9,13,0.000176983,0.000203752,0.248523638,708,708,708,0,0,1,-30,30,-9.73346877922,-57.0149543513,9.7371344008,32.0724378789
9,15,0.000297907,0.000342968,0.41832935,708,708,708,0,0,1,-30,30,-280.406432179,41.71401605,280.651480182,-83.4451572362
10,14,0.00105221,0.00958364,0.031105236,904,904,904,0,0,1,-30,30,-77.5074126549,-23.166558139,77.5756982792,20.6761648021
10,24,0.000243464,0.000280289,1.367512381,1416,1416,1416,0,0,1,-30,30,-929.031469482,38.588962731,931.165553969,-172.833716989
11,21,0.00015784,0.00169041,0.142387631,2172,2172,2172,0,0,1,-30,30,-285.188275995,-83.9564529288,285.32642628,71.2186131414
11,25,0.00110679,0.010080759,0.032718716,904,904,904,0,0,1,-30,30,-57.9611234474,-16.7241523139,58.0009574141,13.8186334786
12,14,0.000665432,0.00606083,0.019671394,904,904,904,0,0,1,-30,30,5.41456093075,-2.00072901295,-5.41435969885,0.0285814896216
12,18,0.000258897,0.000298056,0.363549377,708,708,708,0,0,1,-30,30,-129.579376702,-86.1726872139,129.634604593,49.7362646683
13,16,0.000661549,0.006025463,0.019556605,904,904,904,0,0,1,-30,30,-31.029471241,-11.550235455,31.0365520849,9.64977991917
13,17,0.000189196,0.000217813,0.265674267,708,708,708,0,0,1,-30,30,-238.807049651,-37.6713940173,238.915642261,11.1118126393
13,22,0.000821755,0.00748463,0.024292563,904,904,904,0,0,1,-30,30,-26.0208629711,-8.55092391779,26.0268452975,6.1648107482
14,18,9.94e-05,0.000114489,0.558582953,1416,1416,1416,0,0,1,-30,30,-493.198671127,-47.3590996866,493.439982738,-8.44556518905
14,19,2.7e-05,6.2e-05,1.344867636,1906,1906,1906,0,0,1,-30,30,68.6136560304,-191.805824221,-68.6082304844,56.8525242881
14,23,0.000322118,0.000370841,0.45232683,708,708,708,0,0,1,-30,30,197.138138525,-60.1022778744,-197.008897839,14.8823571156
15,16,0.000110729,0.000127478,0.155489196,708,708,708,0,0,1,-30,30,-393.105178671,74.2430170362,393.282869314,-89.6691947005
16,17,1.61e-05,3.7e-05,7.216516162,5718,5718,5718,0,0,1,-30,30,3349.70739483,-901.714198482,-3347.86444499,180.506063559
16,20,0.000640865,0.005837068,0.018945138,904,904,904,0,0,1,-30,30,25.5836630472,35.778126032,-25.5708936727,-37.5625658576
16,22,3.29e-05,7.57e-05,1.640782241,1906,1906,1906,0,0,1,-30,30,-59.1815016815,48.1421017483,59.1882313342,-213.109569505
16,28,0.000193401,0.002071259,0.697869898,4344,4344,4344,0,0,1,-30,30,-4045.03661757,746.542972147,4077.68049908,-466.78643352
17,18,8.5e-06,1.95e-05,1.693948976,3812,3812,3812,0,0,1,-30,30,2632.28811212,-239.283994483,-2631.70002256,70.4383746845
18,19,3.3e-05,3.8e-05,0.742,2832,2832,2832,0,0,1,-30,30,1524.52937133,-165.45090456,-1523.76044849,91.8340175518
18,30,0.000754369,0.006870878,0.022300533,904,904,904,0,0,1,-30,30,-13.5570677852,3.95644718256,13.5586415533,-6.18171631713
19,23,4.24e-05,4.88e-05,0.952412124,2832,2832,2832,0,0,1,-30,30,1468.4904038,-186.750733154,-1467.57120361,92.2754740475
20,22,0.000644357,0.005868869,0.019048354,904,904,904,0,0,1,-30,30,-26.7584848088,-35.8716577771,26.7709428144,34.0741776115
21,25,0.000588113,0.0053566,0.017385701,904,904,904,0,0,1,-30,30,-18.8538090242,-6.62138857738,18.8560935439,4.90244425273
21,34,9.49e-05,0.001016882,0.085654572,2172,2172,2172,0,0,1,-30,30,-569.310297228,-125.519598684,569.631746464,120.380998654
22,29,0.000157753,0.000181614,0.886083495,1416,1416,1416,0,0,1,-30,30,464.602862472,-92.9540127124,-464.260507158,4.31534922286
22,36,0.000114952,0.001231098,0.103698609,2172,2172,2172,0,0,1,-30,30,28.1193920177,19.7257056503,-28.1177769317,-30.1311075786
22,38,0.000222736,0.002385427,0.200930653,2172,2172,2172,0,0,1,-30,30,-788.667702238,213.388669906,790.15627462,-217.580857915
22,46,0.000425686,0.004558955,0.384012537,2172,2172,2172,0,0,1,-30,30,-432.547041972,-60.337415799,433.34631088,30.1372689403
23,24,5.52e-05,0.000503,0.0147,2712,2712,2712,0,0,1,-30,30,695.391786191,14.2079405518,-695.125401424,-13.2535837842
23,32,2.02e-05,4.64e-05,1.00675716,1906,1906,1906,0,0,1,-30,30,399.245673183,-111.803489829,-399.212797508,10.9556987773
23,33,0.000169968,0.000195677,0.238673524,708,708,708,0,0,1,-30,30,224.833850304,-44.0733349354,-224.746398246,20.2543375197
24,26,0.000118,0.000136,0.664,1416,1416,1416,0,0,1,-30,30,-775.647865717,140.607274194,776.39226179,-206.301089915
25,26,0.00041452,0.003775492,0.012253963,904,904,904,0,0,1,-30,30,-83.2055913775,-16.0544187576,83.2352450269,15.0966205418
25,34,0.000619848,0.00564564,0.018323828,904,904,904,0,0,1,-30,30,-84.8478853511,-15.6779191377,84.8938092541,14.2592889866
26,32,0.000607908,0.005536893,0.01797087,904,904,904,0,0,1,-30,30,-35.7385294708,8.10222148566,35.746762297,-9.8291504829
26,34,4.5e-05,0.000103577,2.245327702,1906,1906,1906,0,0,1,-30,30,-1471.02036898,104.81349661,1472.01245319,-327.826997659
27,34,9.33e-05,0.000999417,0.336734,4344,4344,4344,0,0,1,-30,30,151.069536024,-8.76254331207,-151.048272277,-24.8198973488
28,38,0.001685665,0.015353221,0.049831335,904,904,904,0,0,1,-30,30,423.7728744,-43.0305139884,-420.706222532,65.9916523626
28,41,0.002015591,0.018358223,0.059584548,904,904,904,0,0,1,-30,30,86.8734567963,53.3432382248,-86.6565954492,-57.2327077217
28,50,9.99e-05,0.00321,1.63,7290,7290,7290,0,0,1,-30,30,668.880519944,-736.414114177,-668.001301561,598.897003529
28,80,0.000122152,0.003924627,7.991861101,14580,14580,14580,0,0,1,-30,30,-7464.59571325,1332.45337477,7536.59322113,195.315074281
29,30,8.04e-06,9.26e-06,0.04515506,1416,1416,1416,0,0,1,-30,30,595.851301102,71.6727730105,-595.822436098,-76.1735072803
29,36,3.7e-05,8.52e-05,1.846241882,1906,1906,1906,0,0,1,-30,30,-725.747086194,-135.404005456,725.941835971,-49.5934886618
30,31,0.00033011,0.003006676,0.009758648,904,904,904,0,0,1,-30,30,120.615167911,36.1903417855,-120.562912932,-36.6927440177
31,33,0.000235829,0.000271499,0.331156608,708,708,708,0,0,1,-30,30,-210.754037051,14.7726176892,210.860991128,-47.8135283909
31,36,0.00107165,0.0097607,0.031679912,904,904,904,0,0,1,-30,30,-44.1352169447,-15.6252694049,44.1581800552,12.6572337001
32,33,6.05e-05,6.97e-05,0.1912274,1062,1062,1062,0,0,1,-30,30,432.622583854,-1.95311642292,-432.509587426,-17.0803698527
32,37,0.000239942,0.002569698,0.216452349,2172,2172,2172,0,0,1,-30,30,-162.337052408,0.296084016742,162.400430549,-21.3170859424
32,44,0.000338016,0.003620039,0.304925228,2172,2172,2172,0,0,1,-30,30,-343.932823872,-17.6671064293,344.331721295,-8.66721621207
34,37,6.47e-05,0.000692975,0.058371101,2172,2172,2172,0,0,1,-30,30,-651.949414287,146.860564917,652.237822726,-149.627542367
35,37,0.000950447,0.008656772,0.028096937,904,904,904,0,0,1,-30,30,-63.2689444914,-32.4778229576,63.3163598623,30.1019031623
35,40,0.001104834,0.01006295,0.032660912,904,904,904,0,0,1,-30,30,-272.456732567,-14.1702287461,273.281911491,18.4177868106
36,38,0.000952048,0.00867136,0.028144286,904,904,904,0,0,1,-30,30,-219.52181929,60.0557333421,220.014240875,-58.3899509208
36,43,0.001604892,0.014617531,0.047443535,904,904,904,0,0,1,-30,30,79.5950054889,16.0424285942,-79.4883879869,-19.8197647529
36,44,0.000327256,0.003504805,0.295218756,2172,2172,2172,0,0,1,-30,30,-261.579040184,6.45788754713,261.803376731,-33.722099329
36,46,0.000315296,0.00337672,0.284429868,2172,2172,2172,0,0,1,-30,30,-594.059250013,-78.5705340647,595.17964935,61.8705643287
37,40,0.000119,0.00127,0.429,4344,4344,4344,0,0,1,-30,30,-1738.11219197,54.8269231932,1741.70470446,-59.557212851
38,42,0.001675214,0.015258027,0.049522368,904,904,904,0,0,1,-30,30,-132.52733268,64.377148443,132.896914612,-65.9183717768
38,45,0.001624604,0.014797065,0.048026242,904,904,904,0,0,1,-30,30,-52.6409863037,-58.953260311,52.7380972217,54.9969082964
38,46,0.001525585,0.013895192,0.045099066,904,904,904,0,0,1,-30,30,-6.3354882533,-53.8411588191,6.3767581491,49.6802610472
38,84,0.000977268,0.010466224,0.881597169,2172,2172,2172,0,0,1,-30,30,-746.334044722,223.559052612,752.485472062,-244.20227685
39,44,0.000549539,0.00500526,0.064981493,1808,1808,1808,0,0,1,-30,30,-672.110830912,-67.2111140104,674.640830847,83.7721963445
40,44,0.000186834,0.002000932,0.16854368,2172,2172,2172,0,0,1,-30,30,691.787050035,-61.7575342721,-690.892374652,54.3973702425
40,47,0.000177428,0.001900194,0.160058219,2172,2172,2172,0,0,1,-30,30,944.150654429,118.239497998,-942.549248412,-117.117362727
41,42,0.001299581,0.011836722,0.038417974,904,904,904,0,0,1,-30,30,235.139708358,-69.9297919867,-234.338817778,73.4679106963
41,52,0.003101751,0.028251087,0.091693421,904,904,904,0,0,1,-30,30,37.9670140975,-54.2910485873,-37.8418142804,46.3957460951
41,77,0.002217352,0.020195883,0.065548969,904,904,904,0,0,1,-30,30,-370.535891555,163.044954928,374.296943692,-135.01930844
42,46,0.00172419,0.015704108,0.050970195,904,904,904,0,0,1,-30,30,124.536446058,-109.5880947,-124.063395971,108.80863373
42,84,0.004178797,0.038060939,0.123532864,904,904,904,0,0,1,-30,30,-150.40912999,40.2907166056,151.461979877,-42.7298240132
43,44,0.000449352,0.004092749,0.013283673,904,904,904,0,0,1,-30,30,-506.076419001,-38.7370658224,507.237314974,47.9809298018
44,48,0.001280818,0.011665829,0.037863315,904,904,904,0,0,1,-30,30,-179.414062538,-52.5872389323,179.857011708,52.784184091
44,57,0.000681396,0.007297531,0.614689901,2172,2172,2172,0,0,1,-30,30,-1098.36993103,-109.24045418,1106.59063066,134.490723806
45,46,0.000111099,0.001189836,0.100222927,2172,2172,2172,0,0,1,-30,30,584.504502455,110.378241339,-584.116810322,-116.401316449
45,50,0.00040114,0.004296079,0.361869864,2172,2172,2172,0,0,1,-30,30,-906.679796864,-155.040912783,909.995144743,153.364165239
46,48,0.001260894,0.011484355,0.037274311,904,904,904,0,0,1,-30,30,-87.4418461226,-29.7110139555,87.5466270168,26.872315429
46,50,0.000334595,0.003583402,0.301839233,2172,2172,2172,0,0,1,-30,30,-1279.89064782,-208.44539211,1285.42322879,236.743082451
47,49,0.001906713,0.017366547,0.056365905,904,904,904,0,0,1,-30,30,-248.001961905,-72.5296272164,249.270536548,78.3608247565
47,60,0.000752607,0.008060181,0.67892992,2172,2172,2172,0,0,1,-30,30,-1445.15288631,-73.9236238633,1460.92235174,173.662591542
48,49,0.001480551,0.013485018,0.043767781,904,904,904,0,0,1,-30,30,-134.574805643,-27.8983621858,134.846718137,25.8774782463
48,51,0.001270961,0.011576049,0.037571917,904,904,904,0,0,1,-30,30,-378.060340902,-107.185008323,379.975694176,120.722880496
49,51,0.000899122,0.008189302,0.0598043,1356,1356,1356,0,0,1,-30,30,-312.62749157,-115.63826854,313.588251128,118.135876185
49,53,0.002230934,0.020319589,0.065950477,904,904,904,0,0,1,-30,30,-447.638400393,-26.214894976,451.976324174,58.7879366419
50,51,0.000183433,0.001964511,0.165475847,2172,2172,2172,0,0,1,-30,30,-376.541189071,-483.580523854,377.190578542,473.195193471
50,54,0.000298513,0.003196975,0.269289514,2172,2172,2172,0,0,1,-30,30,-62.5500287807,78.3679369218,62.5858095491,-105.857345049
50,62,4.12e-05,0.001322961,2.693994224,14580,14580,14580,0,0,1,-30,30,-1159.09089008,-144.941934149,1159.6242574,-117.692000581
51,55,0.001436718,0.01308578,0.042471992,904,904,904,0,0,1,-30,30,-150.666009272,64.8346307904,151.03538131,-65.936675332
51,57,0.00189377,0.017248658,0.055983277,904,904,904,0,0,1,-30,30,-96.8605297934,66.9360193604,97.1159174435,-70.4767702546
52,54,0.001933006,0.017606027,0.057143176,904,904,904,0,0,1,-30,30,-55.5625875439,-91.7652166314,55.7753985176,87.9013033764
52,56,0.001462649,0.013321963,0.04323856,904,904,904,0,0,1,-30,30,17.4910945176,-58.8717596335,-17.4394970743,54.9927237609
52,84,0.001585688,0.014442614,0.046875812,904,904,904,0,0,1,-30,30,-280.921096325,154.766728584,282.56635498,-144.381655675
53,55,0.000288514,0.003089893,1.041078801,4344,4344,4344,0,0,1,-30,30,1497.32632223,248.94106033,-1491.03411053,-291.687734685
53,58,0.000270064,0.002892303,0.243626177,2172,2172,2172,0,0,1,-30,30,-1439.19152045,270.175912876,1444.61889635,-238.048034637
53,63,2.79e-05,0.000896312,1.825192122,14580,14580,14580,0,0,1,-30,30,408.91634443,577.774336873,-408.753860542,-766.832338823
54,55,0.002132132,0.019419691,0.063029714,904,904,904,0,0,1,-30,30,-128.659900219,-20.7846760514,129.008150418,17.4094114488
54,61,0.001817125,0.016550571,0.053717525,904,904,904,0,0,1,-30,30,-28.1222468483,-6.58544233664,28.136424256,1.16320866862
54,62,0.000345552,0.003700749,0.311723639,2172,2172,2172,0,0,1,-30,30,-356.971686227,-72.7636876446,357.409000097,45.1619107149
55,57,0.000154208,0.001651521,0.139111914,2172,2172,2172,0,0,1,-30,30,174.158164482,196.738241997,-174.05200959,-210.090887751
55,64,0.003142511,0.028622331,0.092898352,904,904,904,0,0,1,-30,30,-33.592921639,36.4341944085,33.6781069606,-45.2691374352
56,61,0.001408725,0.01283082,0.041644479,904,904,904,0,0,1,-30,30,-131.280682612,-69.8647444642,131.584153286,68.3649491084
57,60,0.001430752,0.01303144,0.042295623,904,904,904,0,0,1,-30,30,-256.010608326,24.3834932454,256.923799298,-20.4592714606
57,97,0.000552148,0.005913329,0.498094995,2172,2172,2172,0,0,1,-30,30,-1447.30757887,192.825100652,1458.70496946,-122.397511668
58,59,6.17e-05,0.00066,0.501,6516,6516,6516,0,0,1,-30,30,-5209.30208703,176.499401372,5225.06741516,-61.2700832261
58,63,0.00017,0.00182,0.613,4344,4344,4344,0,0,1,-30,30,2503.00531227,-64.6192672331,-2492.99051067,106.799231082
60,63,0.000254942,0.002730347,0.229984176,2172,2172,2172,0,0,1,-30,30,-398.028288607,-316.444515831,398.644259871,298.919243036
60,100,0.000568608,0.006089613,0.512943851,2172,2172,2172,0,0,1,-30,30,-1486.65875215,146.557082962,1498.91314363,-68.733193556
61,62,0.000190755,0.001737417,0.022556263,1808,1808,1808,0,0,1,-30,30,-493.299110645,-75.2827501179,493.757910585,77.1227930616
62,63,6.31e-05,0.00202596,4.125535352,14580,14580,14580,0,0,1,-30,30,-2637.46560426,-536.166832991,2641.75262611,241.166030929
62,64,0.00024797,0.002655684,0.223695124,2172,2172,2172,0,0,1,-30,30,-807.203311832,360.439125867,809.088541977,-363.323280214
63,97,0.001705746,0.015536123,0.050424972,904,904,904,0,0,1,-30,30,-268.901001085,106.922944705,270.260046784,-99.823159362
64,96,0.001229987,0.011202852,0.036360649,904,904,904,0,0,1,-30,30,-262.936987066,30.3888009473,263.779992146,-26.4338020601
64,98,0.00145865,0.013285543,0.043120356,904,904,904,0,0,1,-30,30,38.073016473,44.9829258401,-38.0206411641,-48.8916987496
64,99,0.00122871,0.011191219,0.036322892,904,904,904,0,0,1,-30,30,114.30418176,69.9788879738,-114.085462443,-71.6719854978
64,102,0.00020466,0.002191839,0.73849704,4344,4344,4344,0,0,1,-30,30,-1206.79180328,215.783286017,1209.83132333,-258.644442513
65,68,0.001222283,0.011132689,0.036132921,904,904,904,0,0,1,-30,30,-472.1910714,-27.2282432646,475.080901636,50.0951900127
65,69,0.003164497,0.028822584,0.093548306,904,904,904,0,0,1,-30,30,392.695965217,15.9418269831,-387.522489252,22.4377822496
66,67,0.001903714,0.01733923,0.056277244,904,904,904,0,0,1,-30,30,-553.757915223,141.504275374,560.381470787,-86.4208091285
66,70,0.001986687,0.018094956,0.058730073,904,904,904,0,0,1,-30,30,89.2094359248,3.41350765366,-89.0406243349,-7.38676985486
67,69,0.001285688,0.011710181,0.038007266,904,904,904,0,0,1,-30,30,-583.688731112,83.8376384394,588.537699016,-43.1802616808
68,69,0.00309092,0.02815243,0.091373212,904,904,904,0,0,1,-30,30,592.420463072,59.3399120169,-581.060593819,35.4970105966
68,71,0.000542799,0.0058132,0.489660838,2172,2172,2172,0,0,1,-30,30,-1105.36044105,-113.513530436,1112.27130955,139.569807104
69,72,0.003845431,0.035024597,0.113677932,904,904,904,0,0,1,-30,30,339.822431358,-18.998333125,-335.00319173,52.4058624493
70,72,0.001924592,0.017529395,0.056894456,904,904,904,0,0,1,-30,30,-353.402560535,87.4468691179,356.13878252,-67.8093993555
71,73,0.000429713,0.004602092,0.387646086,2172,2172,2172,0,0,1,-30,30,114.33083517,-52.508284379,-114.26946691,14.6397705783
71,78,0.005029715,0.045811184,0.148687523,904,904,904,0,0,1,-30,30,480.302671762,60.5226518332,-468.381645314,33.7413618965
72,74,0.001850173,0.016851572,0.054694473,904,904,904,0,0,1,-30,30,-113.295775809,6.18750490742,113.554871982,-8.87507388284
73,75,0.000154736,0.001657168,0.139587554,2172,2172,2172,0,0,1,-30,30,-1721.41048611,-130.612542432,1726.04303022,166.266410773
73,76,0.003400257,0.030969904,0.100517777,904,904,904,0,0,1,-30,30,381.456323255,42.3273123191,-376.406695557,-6.12995047269
73,79,0.005323371,0.048485836,0.157368535,904,904,904,0,0,1,-30,30,367.779205118,37.9071020564,-360.429848654,13.7737538046
73,80,0.003287737,0.029945065,0.097191498,904,904,904,0,0,1,-30,30,425.791377217,18.6105675751,-419.782004518,26.5776191167
73,81,0.001180594,0.012643784,1.065018618,2172,2172,2172,0,0,1,-30,30,1803.87778909,193.48683629,-1764.54352114,124.538585694
74,77,0.001050785,0.009570661,0.03106311,904,904,904,0,0,1,-30,30,211.956774594,-48.2050205561,-211.420808236,50.2097214474
74,78,0.003080612,0.028058549,0.091068507,904,904,904,0,0,1,-30,30,-398.840278877,48.568787076,404.238550116,-7.85311795893
75,82,0.000690812,0.007398375,0.623184303,2172,2172,2172,0,0,1,-30,30,1012.82302835,53.2057113495,-1005.7238015,-39.1656124281
76,79,0.00216439,0.019713499,0.063983315,904,904,904,0,0,1,-30,30,301.282941086,-1.73327887698,-299.223637392,14.416707748
77,81,0.002745828,0.0250093,0.081171682,904,904,904,0,0,1,-30,30,-487.149697174,52.382203661,494.25988108,4.77904886809
78,81,0.002422622,0.022065501,0.071617111,904,904,904,0,0,1,-30,30,51.4855681814,-33.7365492895,-51.3927060923,27.8636038049
79,80,0.003522928,0.032087205,0.104144155,904,904,904,0,0,1,-30,30,-160.075548365,-22.1651470992,161.042684715,21.0090259503
79,81,0.001905365,0.017354266,0.056326045,904,904,904,0,0,1,-30,30,280.561755564,-24.5671616946,-278.963685385,33.8055570536
79,83,0.001772751,0.016146406,0.052405742,904,904,904,0,0,1,-30,30,396.106172145,4.23570094731,-393.159605594,17.6846036602
80,82,3.61e-05,0.00115912,2.360357594,14580,14580,14580,0,0,1,-30,30,-6984.93799236,-246.69787985,7003.11265778,599.681660155
81,84,0.00122041,0.011115623,0.144310127,1808,1808,1808,0,0,1,-30,30,1552.50821479,-124.974539551,-1521.15751291,396.753554095
81,86,0.000662535,0.007095536,0.59767536,2172,2172,2172,0,0,1,-30,30,-159.06955274,-86.7325750698,159.271247555,32.1740779344
82,85,0.004627741,0.042149964,0.136804449,904,904,904,0,0,1,-30,30,374.325843427,24.5360712122,-367.692211292,22.6587920187
82,86,0.000927929,0.009937818,0.837088105,2172,2172,2172,0,0,1,-30,30,1726.32589261,101.597764852,-1698.03905457,120.206423041
82,94,0.005001876,0.045557628,0.147864567,904,904,904,0,0,1,-30,30,396.906281504,16.4996455479,-388.872363996,42.3237965488
83,89,0.003668123,0.033409661,0.108436396,904,904,904,0,0,1,-30,30,156.236868709,-41.3769673608,-155.224673057,40.3991142577
85,86,0.000987046,0.00899012,0.029178874,904,904,904,0,0,1,-30,30,144.55141474,-44.9728976441,-144.314348253,44.3552273059
86,87,0.000301405,0.003227955,0.271898989,2172,2172,2172,0,0,1,-30,30,704.417025701,-98.6343037428,-702.826598463,89.6957707008
86,89,0.003643968,0.033189659,0.107722346,904,904,904,0,0,1,-30,30,241.070079341,-12.4252362579,-238.848887747,22.4084437378
86,90,0.002477336,0.022563841,0.073234554,904,904,904,0,0,1,-30,30,129.792173222,-16.9485677538,-129.350142869,13.9840166187
86,92,0.000752885,0.008063158,0.67918067,2172,2172,2172,0,0,1,-30,30,389.288201278,-90.5792091951,-388.065864453,38.702147312
87,90,0.002118269,0.019293421,0.062619884,904,904,904,0,0,1,-30,30,34.4153865739,-3.33837945554,-34.3891430307,-2.40573447606
87,95,0.000515412,0.005519901,0.464955523,2172,2172,2172,0,0,1,-30,30,641.857427808,-91.3563868561,-639.610791464,70.9075802736
88,92,0.001978682,0.018022046,0.058493431,904,904,904,0,0,1,-30,30,135.414745255,-6.98074520573,-135.037255085,4.8008483703
88,94,0.002833759,0.025810183,0.083771075,904,904,904,0,0,1,-30,30,7.89045963699,5.57511418455,-7.88590856582,-13.5705547097
89,93,0.001483845,0.013515018,0.043865152,904,904,904,0,0,1,-30,30,318.250307041,-70.3899637602,-316.592528384,81.3049979662
90,92,0.002453205,0.022344057,0.072521209,904,904,904,0,0,1,-30,30,8.51920870939,-13.3818110396,-8.51481594715,6.4826800521
91,147,0.00275034,0.025050396,0.081305066,904,904,904,0,0,1,-30,30,-50.833280783,-5.08332887275,50.9043084847,-2.42235999028
92,95,0.000460572,0.004932573,0.415483409,2172,2172,2172,0,0,1,-30,30,544.171900425,-59.0482919716,-542.742162145,34.5295980474
93,102,0.004195747,0.038215319,0.124033929,904,904,904,0,0,1,-30,30,93.1002600679,-90.2228618966,-92.4106219313,84.2380535551
93,149,0.002966654,0.027020609,0.087699707,904,904,904,0,0,1,-30,30,122.907348448,-1.14075342239,-122.439952512,-2.98208275667
94,150,0.00258422,0.023537359,0.076394262,904,904,904,0,0,1,-30,30,409.590542786,-32.4713453806,-405.036444602,66.6333088471
95,146,0.001216475,0.011079788,0.035961223,904,904,904,0,0,1,-30,30,377.666647825,-8.97634439091,-375.85570529,22.0341591237
95,150,0.000858914,0.009198692,0.774829649,2172,2172,2172,0,0,1,-30,30,514.800922089,-75.036851471,-512.41310826,26.3254299332
95,152,0.003724941,0.033927169,0.110116054,904,904,904,0,0,1,-30,30,232.750763454,-27.1374551169,-230.626834777,35.9054275946
96,97,0.002346462,0.021371826,0.069365678,904,904,904,0,0,1,-30,30,-200.652602921,-3.78033238316,201.575168538,5.04070551761
96,103,0.002051033,0.01868103,0.060632271,904,904,904,0,0,1,-30,30,-210.944608639,15.432406085,211.842748265,-13.4708156968
97,100,0.000128497,0.001376164,0.463671503,4344,4344,4344,0,0,1,-30,30,-2766.43820736,-3.80940476316,2775.93708198,57.3487100168
97,102,0.00092063,0.009859649,0.830503733,2172,2172,2172,0,0,1,-30,30,467.1787798,9.71324937446,-465.213346981,-73.9482031995
97,104,0.000506958,0.005429358,0.457328847,2172,2172,2172,0,0,1,-30,30,465.340156146,50.0063839255,-464.253277509,-85.4394049145
97,109,0.00073851,0.007909207,0.666212996,2172,2172,2172,0,0,1,-30,30,-142.615059495,156.670320064,143.02078709,-220.375728079
98,102,0.001045164,0.009519471,0.030896965,904,904,904,0,0,1,-30,30,-327.37102793,-3.20121444982,328.479738636,10.165346543
99,101,0.000297395,0.002708705,0.008791536,904,904,904,0,0,1,-30,30,-219.700083446,31.8172525165,219.845960901,-31.3721678021
99,104,0.002194901,0.019991395,0.064885269,904,904,904,0,0,1,-30,30,-296.347805475,-6.96857714272,298.265664152,17.8556348073
100,103,0.001101812,0.010035425,0.130286308,1808,1808,1808,0,0,1,-30,30,412.265791304,36.1383817607,-410.451393743,-33.1012043539
101,102,0.001374824,0.012522045,0.040642298,904,904,904,0,0,1,-30,30,-261.905576765,-23.2756163746,262.850261483,27.7683677094
