bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
21,0.0,0.0,225.0,-225.0,1.00013011897,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
21,0.0,0.0,225.0,-225.0,1.00013011897,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
24,0.0,0.0,10.5,-10.5,1.00080255883,100,0,21.0,10.92,0,0,0,0,0,0,0,3.5,10.5,10.5,0
26,0.0,0.0,225.0,-225.0,1.00148161996,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
27,0.0,0.0,63.5,-63.5,1.00213981861,100,0,127.0,66.04,0,0,0,0,0,0,0,21.16666667,63.5,63.5,0
27,163.214451825,-5.69304718264,93.65,-93.65,1.00213981861,100,1,187.3,97.396,0,0,0,0,0,0,0,31.21666667,93.65,93.65,0
34,199.722633804,-2.35602813102,112.5,-112.5,1.0019190515,100,1,225.0,117.0,0,0,0,0,0,0,0,37.5,112.5,112.5,0
34,199.722633804,-2.35602813102,112.5,-112.5,1.0019190515,100,1,225.0,117.0,0,0,0,0,0,0,0,37.5,112.5,112.5,0
34,0.0,0.0,112.5,-112.5,1.0019190515,100,0,225.0,117.0,0,0,0,0,0,0,0,37.5,112.5,112.5,0
34,199.722633804,-2.35602813102,112.5,-112.5,1.0019190515,100,1,225.0,117.0,0,0,0,0,0,0,0,37.5,112.5,112.5,0
34,0.0,0.0,112.5,-112.5,1.0019190515,100,0,225.0,117.0,0,0,0,0,0,0,0,37.5,112.5,112.5,0
34,199.722633804,-2.35602813102,112.5,-112.5,1.0019190515,100,1,225.0,117.0,0,0,0,0,0,0,0,37.5,112.5,112.5,0
34,0.0,0.0,112.5,-112.5,1.0019190515,100,0,225.0,117.0,0,0,0,0,0,0,0,37.5,112.5,112.5,0
34,0.0,0.0,112.5,-112.5,1.0019190515,100,0,225.0,117.0,0,0,0,0,0,0,0,37.5,112.5,112.5,0
34,0.0,0.0,251.7695,-251.7695,1.0019190515,100,0,503.539,261.84028,0,0,0,0,0,0,0,83.92316667,251.7695,251.7695,0
34,0.0,0.0,254.454,-254.454,1.0019190515,100,0,508.908,264.63216,0,0,0,0,0,0,0,84.818,254.454,254.454,0
34,0.0,0.0,225.0,-225.0,1.0019190515,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
34,424.379450499,10.5330767585,225.0,-225.0,1.0019190515,100,1,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
34,0.0,0.0,225.0,-225.0,1.0019190515,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
34,549.292622114,13.7877859055,287.3,-287.3,1.0019190515,100,1,574.6,298.792,0,0,0,0,0,0,0,95.76666667,287.3,287.3,0
34,549.292622114,13.7877859055,287.3,-287.3,1.0019190515,100,1,574.6,298.792,0,0,0,0,0,0,0,95.76666667,287.3,287.3,0
34,0.0,0.0,187.8,-187.8,1.0019190515,100,0,375.6,195.312,0,0,0,0,0,0,0,62.6,187.8,187.8,0
34,0.0,0.0,187.8,-187.8,1.0019190515,100,0,375.6,195.312,0,0,0,0,0,0,0,62.6,187.8,187.8,0
34,0.0,0.0,187.8,-187.8,1.0019190515,100,0,375.6,195.312,0,0,0,0,0,0,0,62.6,187.8,187.8,0
36,0.0,0.0,286.895,-286.895,1.00237523508,100,0,573.79,298.3708,0,0,0,0,0,0,0,95.63166667,286.895,286.895,0
36,323.247377335,14.5671038468,174.137,-174.137,1.00237523508,100,1,348.274,181.10248,0,0,0,0,0,0,0,58.04566667,174.137,174.137,0
36,0.0,0.0,206.3,-206.3,1.00237523508,100,0,412.6,214.552,0,0,0,0,0,0,0,68.76666667,206.3,206.3,0
36,124.777289213,-7.48838507271,73.157,-73.157,1.00237523508,100,1,146.314,76.08328,0,0,0,0,0,0,0,24.38566667,73.157,73.157,0
37,0.0,0.0,12.0,-12.0,1.00131462685,100,0,24.0,12.48,0,0,0,0,0,0,0,4.0,12.0,12.0,0
39,0.0,0.0,240.845,-240.845,0.995037875629,100,0,481.69,250.4788,0,0,0,0,0,0,0,80.28166667,240.845,240.845,0
39,0.0,0.0,240.845,-240.845,0.995037875629,100,0,481.69,250.4788,0,0,0,0,0,0,0,80.28166667,240.845,240.845,0
40,0.0,0.0,30.0,-30.0,1.00265648058,100,0,60.0,31.2,0,0,0,0,0,0,0,10.0,30.0,30.0,0
40,0.0,0.0,375.6,-375.6,1.00265648058,100,0,751.2,390.624,0,0,0,0,0,0,0,125.2,375.6,375.6,0
40,776.91635234,22.1235922997,400.0,-400.0,1.00265648058,100,1,800.0,320.0,0,0,0,0,0,0,0,88.0,264.0,400.0,0
40,776.91635234,22.1235922997,400.0,-400.0,1.00265648058,100,1,800.0,320.0,0,0,0,0,0,0,0,88.0,264.0,400.0,0
40,846.965376812,22.8482216309,435.0,-435.0,1.00265648058,100,1,870.0,348.0,0,0,0,0,0,0,0,95.7,287.1,435.0,0
40,846.965376812,22.8482216309,435.0,-435.0,1.00265648058,100,1,870.0,348.0,0,0,0,0,0,0,0,95.7,287.1,435.0,0
40,846.965376812,22.8482216309,435.0,-435.0,1.00265648058,100,1,870.0,348.0,0,0,0,0,0,0,0,95.7,287.1,435.0,0
40,846.965376812,22.8482216309,435.0,-435.0,1.00265648058,100,1,870.0,348.0,0,0,0,0,0,0,0,95.7,287.1,435.0,0
43,0.0,0.0,72.394,-72.394,0.998477903633,100,0,144.788,75.28976,0,0,0,0,0,0,0,24.13133333,72.394,72.394,0
43,0.0,0.0,19.45,-19.45,0.998477903633,100,0,38.9,20.228,0,0,0,0,0,0,0,6.483333333,19.45,19.45,0
45,0.0,0.0,255.9,-255.9,1.00858761985,100,0,511.8,266.136,0,0,0,0,0,0,0,85.3,255.9,255.9,0
47,0.0,0.0,0.0,0.0,0.998748746115,100,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
47,0.0,0.0,0.0,0.0,0.998748746115,100,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
47,0.0,0.0,0.0,0.0,0.998748746115,100,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
47,0.0,0.0,0.0,0.0,0.998748746115,100,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
47,0.0,0.0,434.25,-434.25,0.998748746115,100,0,868.5,451.62,0,0,0,0,0,0,0,144.75,434.25,434.25,0
47,0.0,0.0,431.65,-431.65,0.998748746115,100,0,863.3,448.916,0,0,0,0,0,0,0,143.8833333,431.65,431.65,0
48,0.0,0.0,218.05,-218.05,1.01091969527,100,0,436.1,226.772,0,0,0,0,0,0,0,72.68333333,218.05,218.05,0
48,0.0,0.0,189.19,-189.19,1.01091969527,100,0,378.38,196.7576,0,0,0,0,0,0,0,63.06333333,189.19,189.19,0
48,0.0,0.0,189.19,-189.19,1.01091969527,100,0,378.38,196.7576,0,0,0,0,0,0,0,63.06333333,189.19,189.19,0
49,0.0,0.0,384.915,-384.915,1.01646571671,100,0,769.83,400.3116,0,0,0,0,0,0,0,128.305,384.915,384.915,0
53,0.0,0.0,250.375,-250.375,1.03468334653,100,0,500.75,260.39,0,0,0,0,0,0,0,83.45833333,250.375,250.375,0
53,0.0,0.0,266.5,-266.5,1.03468334653,100,0,533.0,277.16,0,0,0,0,0,0,0,88.83333333,266.5,266.5,0
53,0.0,0.0,191.0,-191.0,1.03468334653,100,0,382.0,198.64,0,0,0,0,0,0,0,63.66666667,191.0,191.0,0
53,0.0,0.0,423.0,-423.0,1.03468334653,100,0,846.0,439.92,0,0,0,0,0,0,0,141.0,423.0,423.0,0
53,475.213299448,-1.40161737625,250.0,-250.0,1.03468334653,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
53,474.36123109,-1.40161737625,250.0,-250.0,1.03468334653,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
53,474.36123109,-1.40161737625,250.0,-250.0,1.03468334653,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
53,474.36123109,-1.40161737625,250.0,-250.0,1.03468334653,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
53,475.213299448,-1.40161737625,250.0,-250.0,1.03468334653,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
53,474.36123109,-1.40161737625,250.0,-250.0,1.03468334653,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
53,474.36123109,-1.40161737625,250.0,-250.0,1.03468334653,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
53,474.36123109,-1.40161737625,250.0,-250.0,1.03468334653,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
53,994.173352196,1.44758170661,510.0,-510.0,1.03468334653,100,1,1020.0,408.0,0,0,0,0,0,0,0,112.2,336.6,510.0,0
53,993.022318848,1.44758170661,510.0,-510.0,1.03468334653,100,1,1020.0,408.0,0,0,0,0,0,0,0,112.2,336.6,510.0,0
57,0.0,0.0,50.85,-50.85,1.01879608689,100,0,101.7,52.884,0,0,0,0,0,0,0,16.95,50.85,50.85,0
58,0.0,0.0,232.9,-232.9,1.03133697162,100,0,465.8,242.216,0,0,0,0,0,0,0,77.63333333,232.9,232.9,0
59,0.0,0.0,173.165,-173.165,1.03369506214,100,0,346.33,180.0916,0,0,0,0,0,0,0,57.72166667,173.165,173.165,0
59,0.0,0.0,0.0,0.0,1.03369506214,100,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
59,471.097001963,-5.8762019178,250.0,-250.0,1.03369506214,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
59,471.097001963,-5.8762019178,250.0,-250.0,1.03369506214,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
59,473.665911468,-5.8762019178,250.0,-250.0,1.03369506214,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
59,471.097001963,-5.8762019178,250.0,-250.0,1.03369506214,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
59,471.097001963,-5.8762019178,250.0,-250.0,1.03369506214,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
59,471.097001963,-5.8762019178,250.0,-250.0,1.03369506214,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
59,467.805410866,-5.8762019178,250.0,-250.0,1.03369506214,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
59,1021.33561629,-4.34037456756,525.0,-525.0,1.03369506214,100,1,1050.0,420.0,0,0,0,0,0,0,0,115.5,346.5,525.0,0
59,1021.33561629,-4.34037456756,525.0,-525.0,1.03369506214,100,1,1050.0,420.0,0,0,0,0,0,0,0,115.5,346.5,525.0,0
62,0.0,0.0,0.0,0.0,1.01937228923,100,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
64,0.0,0.0,265.2205,-265.2205,1.01188063549,100,0,530.441,275.82932,0,0,0,0,0,0,0,88.40683333,265.2205,265.2205,0
70,0.0,0.0,215.6,-215.6,0.967253980619,100,0,431.2,224.224,0,0,0,0,0,0,0,71.86666667,215.6,215.6,0
71,985.438383603,86.9904063545,520.0,-520.0,0.996385121506,100,1,1040.0,416.0,0,0,0,0,0,0,0,114.4,343.2,520.0,0
73,173.649559433,28.8623698949,100.0,-100.0,0.997443272726,100,1,200.0,80.0,0,0,0,0,0,0,0,22.0,66.0,100.0,0
73,164.962384632,28.8623698949,100.0,-100.0,0.997443272726,100,1,200.0,80.0,0,0,0,0,0,0,0,22.0,66.0,100.0,0
73,547.689053035,74.2811695065,297.5,-297.5,0.997443272726,100,1,595.0,238.0,0,0,0,0,0,0,0,65.45,196.35,297.5,0
73,548.440750062,74.2811695065,297.5,-297.5,0.997443272726,100,1,595.0,238.0,0,0,0,0,0,0,0,65.45,196.35,297.5,0
79,0.0,0.0,424.0,-424.0,0.97171666975,100,0,848.0,440.96,0,0,0,0,0,0,0,141.3333333,424.0,424.0,0
75,960.328872281,78.9410010542,511.0,-511.0,1.00257094668,100,1,1022.0,408.8,0,0,0,0,0,0,0,112.42,337.26,511.0,0
75,960.328872281,78.9410010542,511.0,-511.0,1.00257094668,100,1,1022.0,408.8,0,0,0,0,0,0,0,112.42,337.26,511.0,0
82,933.585375408,87.4147233529,475.0,-475.0,0.992130108404,100,1,950.0,902.5,0,0,0,0,0,0,0,28.5,85.5,475.0,0
82,933.585375408,87.4147233529,475.0,-475.0,0.992130108404,100,1,950.0,902.5,0,0,0,0,0,0,0,28.5,85.5,475.0,0
82,982.944658889,88.2487477357,500.0,-500.0,0.992130108404,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
82,982.944658889,88.2487477357,500.0,-500.0,0.992130108404,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
82,982.944658889,88.2487477357,500.0,-500.0,0.992130108404,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
82,982.944658889,88.2487477357,500.0,-500.0,0.992130108404,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
82,1378.25971812,92.1664060303,700.0,-700.0,0.992130108404,100,1,1400.0,1330.0,0,0,0,0,0,0,0,42.0,126.0,700.0,0
87,0.0,0.0,180.8,-180.8,0.977808411326,100,0,361.6,188.032,0,0,0,0,0,0,0,60.26666667,180.8,180.8,0
98,0.0,0.0,44.0,-44.0,1.0051451812,100,0,88.0,45.76,0,0,0,0,0,0,0,14.66666667,44.0,44.0,0
99,0.0,0.0,24.15,-24.15,1.00261653761,100,0,48.3,25.116,0,0,0,0,0,0,0,8.05,24.15,24.15,0
100,0.0,0.0,225.0,-225.0,1.02142691531,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
100,0.0,0.0,225.0,-225.0,1.02142691531,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
100,0.0,0.0,225.0,-225.0,1.02142691531,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
100,522.252025585,5.03218462964,275.0,-275.0,1.02142691531,100,1,550.0,220.0,0,0,0,0,0,0,0,60.5,181.5,275.0,0
100,472.095388097,4.12808551536,250.0,-250.0,1.02142691531,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
100,472.095388097,4.12808551536,250.0,-250.0,1.02142691531,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
100,472.095388097,4.12808551536,250.0,-250.0,1.02142691531,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
100,472.095388097,4.12808551536,250.0,-250.0,1.02142691531,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
100,472.095388097,4.12808551536,250.0,-250.0,1.02142691531,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
100,991.34078263,8.45511678254,509.515,-509.515,1.02142691531,100,1,1019.03,407.612,0,0,0,0,0,0,0,112.0933,336.2799,509.515,0
100,991.34078263,8.45511678254,509.515,-509.515,1.02142691531,100,1,1019.03,407.612,0,0,0,0,0,0,0,112.0933,336.2799,509.515,0
106,966.986430913,16.9942605844,509.0,-509.0,1.00475255192,100,1,1018.0,407.2,0,0,0,0,0,0,0,111.98,335.94,509.0,0
108,0.0,0.0,359.2,-359.2,1.00311876999,100,0,718.4,373.568,0,0,0,0,0,0,0,119.7333333,359.2,359.2,0
124,934.817856732,36.6270561985,475.0,-475.0,1.01088272629,100,1,950.0,902.5,0,0,0,0,0,0,0,28.5,85.5,475.0,0
124,934.817856732,36.6270561985,475.0,-475.0,1.01088272629,100,1,950.0,902.5,0,0,0,0,0,0,0,28.5,85.5,475.0,0
124,984.328832568,37.0977418699,500.0,-500.0,1.01088272629,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
124,984.328832568,37.0977418699,500.0,-500.0,1.01088272629,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
124,984.328832568,37.0977418699,500.0,-500.0,1.01088272629,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
124,984.328832568,37.0977418699,500.0,-500.0,1.01088272629,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
128,0.0,0.0,57.623,-57.623,0.987667745692,100,0,115.246,59.92792,0,0,0,0,0,0,0,19.20766667,57.623,57.623,0
134,0.0,0.0,262.75,-262.75,0.997820903218,100,0,525.5,273.26,0,0,0,0,0,0,0,87.58333333,262.75,262.75,0
134,0.0,0.0,432.1,-432.1,0.997820903218,100,0,864.2,449.384,0,0,0,0,0,0,0,144.0333333,432.1,432.1,0
134,0.0,0.0,247.3,-247.3,0.997820903218,100,0,494.6,257.192,0,0,0,0,0,0,0,82.43333333,247.3,247.3,0
134,0.0,0.0,247.3,-247.3,0.997820903218,100,0,494.6,257.192,0,0,0,0,0,0,0,82.43333333,247.3,247.3,0
137,325.885284908,28.0422033774,170.0,-170.0,0.994762262028,100,1,340.0,136.0,0,0,0,0,0,0,0,37.4,112.2,170.0,0
137,314.295086145,27.157589888,164.3,-164.3,0.994762262028,100,1,328.6,131.44,0,0,0,0,0,0,0,36.146,108.438,164.3,0
156,0.0,0.0,185.35,-185.35,0.979821154528,100,0,370.7,192.764,0,0,0,0,0,0,0,61.78333333,185.35,185.35,0
160,0.0,0.0,0.0,0.0,0.975269027529,100,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
166,686.494854467,90.5233821491,350.0,-350.0,0.993549167795,100,1,700.0,665.0,0,0,0,0,0,0,0,21.0,63.0,350.0,0
166,686.494854467,90.5233821491,350.0,-350.0,0.993549167795,100,1,700.0,665.0,0,0,0,0,0,0,0,21.0,63.0,350.0,0
166,686.494854467,90.5233821491,350.0,-350.0,0.993549167795,100,1,700.0,665.0,0,0,0,0,0,0,0,21.0,63.0,350.0,0
166,982.397103269,99.7191448107,500.0,-500.0,0.993549167795,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
166,982.397103269,99.7191448107,500.0,-500.0,0.993549167795,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
167,0.0,0.0,150.0,-150.0,0.992268166581,100,0,300.0,156.0,0,0,0,0,0,0,0,50.0,150.0,150.0,0
167,0.0,0.0,225.0,-225.0,0.992268166581,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
167,0.0,0.0,225.0,-225.0,0.992268166581,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
167,0.0,0.0,435.95,-435.95,0.992268166581,100,0,871.9,453.388,0,0,0,0,0,0,0,145.3166667,435.95,435.95,0
167,0.0,0.0,221.4,-221.4,0.992268166581,100,0,442.8,230.256,0,0,0,0,0,0,0,73.8,221.4,221.4,0
172,0.0,0.0,22.918,-22.918,0.989289124622,100,0,45.836,23.83472,0,0,0,0,0,0,0,7.639333333,22.918,22.918,0
175,637.033165446,78.0593779932,325.0,-325.0,1.00138234897,100,1,650.0,617.5,0,0,0,0,0,0,0,19.5,58.5,325.0,0
175,932.586819595,86.6546497545,475.0,-475.0,1.00138234897,100,1,950.0,902.5,0,0,0,0,0,0,0,28.5,85.5,475.0,0
175,932.586819595,86.6546497545,475.0,-475.0,1.00138234897,100,1,950.0,902.5,0,0,0,0,0,0,0,28.5,85.5,475.0,0
175,981.918676436,87.4950443603,500.0,-500.0,1.00138234897,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
175,981.918676436,87.4950443603,500.0,-500.0,1.00138234897,100,1,1000.0,950.0,0,0,0,0,0,0,0,30.0,90.0,500.0,0
175,1377.19303468,91.5474182338,700.0,-700.0,1.00138234897,100,1,1400.0,1330.0,0,0,0,0,0,0,0,42.0,126.0,700.0,0
175,1377.19303468,91.5474182338,700.0,-700.0,1.00138234897,100,1,1400.0,1330.0,0,0,0,0,0,0,0,42.0,126.0,700.0,0
180,0.0,0.0,13.15,-13.15,0.992439549994,100,0,26.3,13.676,0,0,0,0,0,0,0,4.383333333,13.15,13.15,0
186,0.0,0.0,225.0,-225.0,0.993745511273,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
186,0.0,0.0,225.0,-225.0,0.993745511273,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
186,0.0,0.0,225.0,-225.0,0.993745511273,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
186,0.0,0.0,225.0,-225.0,0.993745511273,100,0,450.0,234.0,0,0,0,0,0,0,0,75.0,225.0,225.0,0
190,491.50468128,19.0380296096,280.0,-280.0,1.0,100,1,560.0,224.0,0,0,0,0,0,0,0,61.6,184.8,280.0,0
190,491.50468128,19.0380296096,280.0,-280.0,1.0,100,1,560.0,224.0,0,0,0,0,0,0,0,61.6,184.8,280.0,0
190,436.313968743,20.0144507365,250.0,-250.0,1.0,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
190,436.313968743,20.0144507365,250.0,-250.0,1.0,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
190,935.471578119,13.6276405007,520.0,-520.0,1.0,100,1,1040.0,416.0,0,0,0,0,0,0,0,114.4,343.2,520.0,0
190,935.471578119,13.6276405007,520.0,-520.0,1.0,100,1,1040.0,416.0,0,0,0,0,0,0,0,114.4,343.2,520.0,0
193,390.237471821,26.9438509763,250.0,-250.0,1.00651224611,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
193,390.237471821,26.9438509763,250.0,-250.0,1.00651224611,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
193,390.237471821,26.9438509763,250.0,-250.0,1.00651224611,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
193,390.237471821,26.9438509763,250.0,-250.0,1.00651224611,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
193,358.283360293,26.9438509763,250.0,-250.0,1.00651224611,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
193,390.237471821,26.9438509763,250.0,-250.0,1.00651224611,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
193,390.237471821,26.9438509763,250.0,-250.0,1.00651224611,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
193,322.147279809,26.9438509763,250.0,-250.0,1.00651224611,100,1,500.0,200.0,0,0,0,0,0,0,0,55.0,165.0,250.0,0
71,985.438383603,86.9904063545,520.0,-520.0,0.996385121506,100,1,1040.0,416.0,0,0,0,0,0,0,0,114.4,343.2,520.0,0
60,0.0,0.0,247.5,-247.5,1.01952981327,100,0,495.0,257.4,0,0,0,0,0,0,0,82.5,247.5,247.5,0
42,996.16352022,50.5998461389,512.7,-512.7,0.991579132954,100,1,1025.4,533.208,0,0,0,0,0,0,0,170.9,512.7,512.7,0
11,0.0,0.0,0.0,0.0,0.998366784062,100,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
172,0.0,0.0,59.486,-59.486,0.989289124622,100,0,118.972,61.86544,0,0,0,0,0,0,0,19.8286666667,59.486,59.486,0
82,1378.25971812,92.1664060303,700.0,-700.0,0.992130108404,100,1,1400.0,1330.0,0,0,0,0,0,0,0,42.0,126.0,700.0,0
75,988.200045012,79.2530657426,525.0,-525.0,1.00257094668,100,1,1050.0,420.0,0,0,0,0,0,0,0,115.5,346.5,525.0,0
64,0.0,0.0,298.5855,-298.5855,1.01188063549,100,0,597.171,310.52892,0,0,0,0,0,0,0,99.5285,298.5855,298.5855,0
160,0.0,0.0,135.0,-135.0,0.975269027529,100,0,270.0,140.4,0,0,0,0,0,0,0,45.0,135.0,135.0,0
192,780.411862861,30.486785142,506.0,-506.0,1.00000924136,100,1,1012.0,526.24,0,0,0,0,0,0,0,168.666666667,506.0,506.0,0
167,0.0,0.0,552.3,-552.3,0.992268166581,100,0,1104.6,574.392,0,0,0,0,0,0,0,184.1,552.3,552.3,0
75,0.0,0.0,525.0,-525.0,1.00257094668,100,0,1050.0,546.0,0,0,0,0,0,0,0,175.0,525.0,525.0,0
62,0.0,0.0,135.0,-135.0,1.01937228923,100,0,270.0,140.4,0,0,0,0,0,0,0,45.0,135.0,135.0,0
52,0.0,0.0,280.5,-280.5,0.999240673902,100,0,561.0,291.72,0,0,0,0,0,0,0,93.5,280.5,280.5,0
11,0.0,0.0,247.73,-247.73,0.998366784062,100,0,495.46,257.6392,0,0,0,0,0,0,0,82.5766666667,247.73,247.73,0
