model,startup,shutdown,n,c2_or_x1,c1_or_y1,c0_or_x2
2,28201.9258496,0,3,0.0200872034475,68.7003283002,4563.57314772
2,23689.8039757,0,3,0.0203027404496,68.2331229172,4532.53798395
2,21277.7726958,0,3,0.0215021422527,70.4439150043,4679.39479895
2,60827.6681176,0,3,0.00862062744172,76.2595462792,12570.2003309
2,57164.8860755,0,3,0.00925396332767,72.9939652163,11959.880944
2,32579.335271,0,3,0.0151218747765,67.3605597019,5575.32171898
2,29105.5412791,0,3,0.0170469621304,65.635637183,4713.52741967
2,32989.1230879,0,3,0.0164586622519,61.8319485161,4440.37107357
2,50079.2797278,0,3,0.0101426898613,78.7735325129,11509.4166466
2,39506.9156991,0,3,0.0135592405523,65.4878962001,6223.86488873
2,36926.3022998,0,3,0.0138673736883,70.7836027142,7160.4123294
2,28452.6249582,0,3,0.0182756535548,67.7556785835,4912.32646236
2,53956.0905236,0,3,0.00914972099387,74.5098793378,11963.6137276
2,9496.53486406,0,3,0.00928938695687,52.8531973891,1093.53267441
2,9561.01604762,0,3,0.00893841365539,51.3427316725,1062.28113815
2,8667.47178831,0,3,0.00882879596655,50.7923226206,1050.89317465
2,9090.32852672,0,3,0.00920558561041,50.3067690781,1040.84707167
2,8483.77645453,0,3,0.0093987124632,52.0885960683,1077.71307278
2,9845.1875931,0,3,0.00878803155052,51.822670946,1072.2110819
2,8861.95011531,0,3,0.00882612769979,50.5501826782,1045.88329915
2,7907.72075721,0,3,0.0086245563528,48.2956765313,999.237566098
2,19411.2644805,0,3,0.00413474066618,47.8338482484,2018.95197105
2,17523.4116577,0,3,0.00460241379948,52.1100663251,2199.44087651
2,9797.9713589,0,3,0.071504726949,71.331067927,1376.82213116
2,35563.029225,0,3,0.0140225869366,65.0402813594,5749.8968636
2,26817.2330656,0,3,0.0195415258657,65.8126165999,4325.90950563
2,8493.63539596,0,3,0.00909448702582,49.4587756689,1023.3020877
2,8546.18177907,0,3,0.00788467654692,47.9371499636,991.819651275
2,9238.59542148,0,3,0.00865323868739,50.1731036677,1038.08153428
2,8889.98935773,0,3,0.00929080844119,51.8037891485,1071.8204175
2,9222.89814549,0,3,0.00838743535057,49.7448062703,1029.22006096
2,9365.1344974,0,3,0.00901762653948,50.115149113,1036.88245452
2,7916.36190934,0,3,0.00884776051449,49.9416954248,1033.29369764
2,9363.54049834,0,3,0.0101670087038,53.0357865799,1097.31044484
2,15496.156252,0,3,0.00406604443221,47.2766020332,2054.12112011
2,15469.7822846,0,3,0.00445799267375,50.5907060009,2198.11562609
2,9650.00337251,0,3,0.132118145726,69.4082121917,767.993549022
2,45176.3805517,0,3,0.0147595107416,66.7459865774,6719.55326958
2,29490.0659806,0,3,0.0160742236493,68.6753587848,5620.27865383
2,17535.6246704,0,3,0.00423455968856,49.0411414086,2110.49536817
2,3864.9188404,0,3,0.0235011620423,51.7421838642,428.218321659
2,4022.0908964,0,3,0.023765200946,52.3615513303,433.344206905
2,11074.9624423,0,3,0.00815009586801,51.7720209046,1274.68412771
2,9941.03197243,0,3,0.00746580060615,51.322173282,1263.6083842
2,47903.424879,0,3,0.00925886316669,76.8791517189,12373.2159922
2,15575.92581,0,3,0.00455765757858,49.9139980855,2110.88098751
2,17506.7557817,0,3,0.00414610573315,48.1786506354,2037.49251774
2,0.0,0,3,0.000629538661149,9.33328580838,0.0
2,0.0,0,3,0.000597429780797,9.24577571079,0.0
2,0.0,0,3,0.000630882234426,9.47087800396,0.0
2,0.0,0,3,0.000610362847971,9.36087893354,0.0
2,0.0,0,3,0.000618539743068,9.55802535668,0.0
2,0.0,0,3,0.000624885875846,9.25901974411,0.0
2,0.0,0,3,0.000455798548304,9.40727928721,0.0
2,25083.3292413,0,3,0.0191861429615,68.5828522138,4706.76075451
2,11248.2550467,0,3,0.0807740026355,67.6682998521,1130.17604154
2,7316.4865195,0,3,0.134445342249,62.0628568681,568.927665752
2,36813.5043697,0,3,0.015642446553,63.8458269355,5452.84545931
2,34996.5122999,0,3,0.0161099645181,71.5392795069,6109.9159357
2,29450.41134,0,3,0.0151934030387,69.2583115602,5915.10655962
2,10171.1356825,0,3,0.00802314250682,50.5268497898,1149.94059585
2,9841.48495855,0,3,0.00962062549746,50.3699035439,1042.15332379
2,9806.31301858,0,3,0.00834411515658,48.9991347754,1013.79211744
2,8651.76238742,0,3,0.00850157796983,48.7152340201,1007.9182107
2,9779.15593911,0,3,0.00849938788423,52.2451767137,1080.9527264
2,8466.15847031,0,3,0.00875967145,51.4990038366,1065.51440928
2,16236.7809248,0,3,0.00421096225959,50.665248183,2136.42493699
2,17350.5071812,0,3,0.00453279233584,49.3360983994,2080.37806374
2,16075.9653423,0,3,0.0045503175119,51.0668155563,2151.1814748
2,49730.8542302,0,3,0.0108110705217,75.6546068746,10315.252466
2,0.0,0,3,0.000670537275382,9.26605196673,0.0
2,0.0,0,3,0.000647457514199,9.49905827277,0.0
2,0.0,0,3,0.000604696743588,9.41438294983,0.0
2,0.0,0,3,0.000622577640158,9.5788281735,0.0
2,0.0,0,3,0.000621644985145,9.5788281735,0.0
2,0.0,0,3,0.000574402295324,9.36677298093,0.0
2,12141.8044487,0,3,0.0627131172324,67.2922327823,1471.86832255
2,35069.3144388,0,3,0.0135874261442,70.0733422431,6988.81769402
2,54542.3990365,0,3,0.00807953658756,73.5102706078,12057.03281
2,33636.8047203,0,3,0.0151253487697,70.7642240332,6642.72112198
2,38454.2618018,0,3,0.0130642776128,66.8843001496,6278.50809364
2,6614.78069336,0,3,0.011764816103,49.8050011449,700.716535197
2,6628.52465536,0,3,0.0130215751275,49.4110051654,671.864574135
2,24690.9945085,0,3,0.0188522885996,68.7590239444,4837.60548944
2,8854.06753985,0,3,0.175471756921,74.7084833267,616.79001721
2,0.0,0,3,0.000833691750535,9.46851455348,0.0
2,0.0,0,3,0.000901719169765,9.37426351588,0.0
2,0.0,0,3,0.000849677318691,9.37576794462,0.0
2,0.0,0,3,0.000610471618805,9.42113771446,0.0
2,0.0,0,3,0.000623350074338,9.5788281735,0.0
2,25613.3605496,0,3,0.0221115664725,63.7543463137,3630.02161607
2,34107.0854126,0,3,0.0143465909441,66.8692441825,5711.06479483
2,31967.2568089,0,3,0.0158642324767,67.2288132447,5741.77431214
2,62439.8597299,0,3,0.00766833189995,71.4932765029,11830.6889999
2,29228.0323037,0,3,0.0154394671703,68.5587640701,5761.67492045
2,6883.87373325,0,3,0.161372706696,72.9636619922,634.73360621
2,0.0,0,3,0.000930123702348,9.48008822777,0.0
2,0.0,0,3,0.000693939997421,9.47546396302,0.0
2,0.0,0,3,0.000677132410101,9.58374147003,0.0
2,0.0,0,3,0.000607297932659,9.32622234654,0.0
2,0.0,0,3,0.000587110822879,9.31587842062,0.0
2,0.0,0,3,0.000450284963255,9.34809946598,0.0
2,0.0,0,3,0.000433980235969,9.39215010701,0.0
2,8526.66846073,0,3,0.296048716419,77.1697151649,385.195145338
2,33934.5758864,0,3,0.0148254057567,70.0263149375,5980.69900207
2,30065.3254365,0,3,0.0148777476799,64.7197188334,5527.48146445
2,36825.977475,0,3,0.0157055596081,63.5454008173,5427.18713089
2,26388.4225601,0,3,0.0143522696941,69.0489682578,5897.22729122
2,10255.2795731,0,3,0.00723821213888,49.2513777347,1141.29234729
2,10468.145241,0,3,0.0078103316112,49.0167125843,1135.85449859
2,9759.84464753,0,3,0.00939467627806,51.339311751,1062.21037997
2,9572.30165011,0,3,0.00924633343456,50.9445759893,1054.04329691
2,18387.3461157,0,3,0.0044943540308,51.4839971499,2215.62415553
2,16712.8692353,0,3,0.00443954347913,50.0365128989,2153.33138013
2,8453.05186416,0,3,0.00927986406182,49.4903979907,1023.95635355
2,9495.62322086,0,3,0.00838007415751,51.0454318337,1056.13000437
2,8401.59583616,0,3,0.00897999485518,50.823360879,1051.53535623
2,8490.40256718,0,3,0.00947289264613,49.7892595278,1030.13979887
2,9044.46902831,0,3,0.00908846267559,50.9888705429,1054.95975124
2,9133.16720306,0,3,0.00955529597979,49.6472272649,1027.2011513
2,8848.46471727,0,3,0.00924141387485,50.8424408502,1051.93012084
2,8635.86001808,0,3,0.009431904239,53.0557179226,1097.72282432
2,17044.0077599,0,3,0.00410489186443,47.2200496797,2032.12431994
2,37557.5301121,0,3,0.0144417098599,68.9508079492,6477.72814445
2,55206.8371827,0,3,0.0061970341033,64.5691585487,12565.9868003
2,26894.9283068,0,3,0.0200374358599,67.287644023,4475.60693667
2,11046.63857,0,3,0.0549236069955,63.9547470292,1444.09480993
2,0.0,0,3,0.000430654275254,9.28708676612,0.0
2,17826.6115663,0,3,0.00417815487824,51.1290651032,2221.50679117
2,39465.0371241,0,3,0.0136830953656,76.3282609918,8650.91881412
2,23616.8419714,0,3,0.0249787890727,67.8465203125,3476.71828816
2,57205.0997118,0,3,0.00671061401449,63.1564479618,12130.4348104
2,63383.9449653,0,3,0.00610649547819,66.7284483999,13989.2433403
2,63948.9760427,0,3,0.00616537277401,65.7286709952,13098.5224704
2,27412.008772,0,3,0.0253178702483,67.9623410868,3482.6533929
2,39375.2133124,0,3,0.0119193965354,65.0701318217,6928.23654585
2,42209.2597187,0,3,0.0141159536794,72.4332963641,6811.22155983
2,23882.5776595,0,3,0.0234123522256,68.9553840443,3729.84857729
2,37093.8572837,0,3,0.013362680078,65.3961521683,6181.01357962
2,37647.5343667,0,3,0.0131971291565,65.8301510319,6247.02170785
