type_thermal,UT,DT,inistate,initialpower,ramp_up,ramp_down,startup_limit,shutdown_limit,startup1,startup2,startup3,startupdelay1,startupdelay2,startupdelay3
3,4,3,1,0,225.0,225.0,225.0,225.0,16379.0108349,18016.9119183,19654.8130018,3,6,12
3,4,3,1,0,503.539,503.539,503.539,503.539,33669.4110322,37036.3521354,40403.2932386,3,6,12
3,4,3,1,0,508.908,508.908,508.908,508.908,38420.6453397,42262.7098737,46104.7744077,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,30378.2880197,33416.1168217,36453.9456236,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,32770.3097731,36047.3407504,39324.3717277,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,36636.5375186,40300.1912705,43963.8450223,3,6,12
3,4,3,1,0,574.6,574.6,574.6,574.6,32273.4300784,35500.7730863,38728.1160941,3,6,12
3,4,3,1,0,574.6,574.6,574.6,574.6,34861.1830177,38347.3013194,41833.4196212,3,6,12
3,4,3,1,0,375.6,375.6,375.6,375.6,31166.9471024,34283.6418127,37400.3365229,3,6,12
3,4,3,1,0,375.6,375.6,375.6,375.6,26920.0263118,29612.028943,32304.0315742,3,6,12
3,4,3,1,0,375.6,375.6,375.6,375.6,30525.3103467,33577.8413813,36630.372416,3,6,12
3,4,3,1,0,573.79,573.79,573.79,573.79,35870.7337486,39457.8071235,43044.8804984,3,6,12
3,4,3,1,0,348.274,348.274,348.274,348.274,29795.88667,32775.475337,35755.064004,3,6,12
3,4,3,1,0,412.6,412.6,412.6,412.6,30182.772212,33201.0494332,36219.3266544,3,6,12
3,4,3,1,0,146.314,146.314,146.314,146.314,14759.5573277,16235.5130604,17711.4687932,3,6,12
3,4,3,1,0,24.0,24.0,24.0,24.0,8671.96590101,9539.16249111,10406.3590812,3,6,12
3,4,3,1,0,481.69,481.69,481.69,481.69,38693.8186373,42563.200501,46432.5823647,3,6,12
3,4,3,1,0,481.69,481.69,481.69,481.69,38483.5407275,42331.8948002,46180.2488729,3,6,12
3,4,3,1,0,60.0,60.0,60.0,60.0,8237.85235061,9061.63758567,9885.42282073,3,6,12
3,4,3,1,0,751.2,751.2,751.2,751.2,38432.9854907,42276.2840397,46119.5825888,3,6,12
3,6,12,1,0,528.0,528.0,528.0,528.0,13792.7822791,15172.060507,16551.3387349,12,24,48
3,6,12,1,0,528.0,528.0,528.0,528.0,13974.2521004,15371.6773104,16769.1025204,12,24,48
3,6,12,1,0,574.2,574.2,574.2,574.2,15257.3447334,16783.0792068,18308.8136801,12,24,48
3,6,12,1,0,574.2,574.2,574.2,574.2,13587.9625339,14946.7587873,16305.5550407,12,24,48
3,6,12,1,0,574.2,574.2,574.2,574.2,11647.7517305,12812.5269036,13977.3020766,12,24,48
3,6,12,1,0,574.2,574.2,574.2,574.2,14393.2109664,15832.532063,17271.8531597,12,24,48
3,4,3,1,0,144.788,144.788,144.788,144.788,11133.6219909,12246.9841899,13360.346389,3,6,12
3,4,3,1,0,38.9,38.9,38.9,38.9,8515.77539662,9367.35293628,10218.9304759,3,6,12
3,4,3,1,0,511.8,511.8,511.8,511.8,34240.3164783,37664.3481262,41088.379774,3,6,12
3,4,3,-24,0,0.0,0.0,0.0,0.0,27792.9230381,30572.2153419,33351.5076457,3,6,12
3,4,3,-24,0,0.0,0.0,0.0,0.0,28201.9258496,31022.1184346,33842.3110196,3,6,12
3,4,3,-24,0,0.0,0.0,0.0,0.0,23689.8039757,26058.7843733,28427.7647709,3,6,12
3,4,3,-24,0,0.0,0.0,0.0,0.0,21277.7726958,23405.5499654,25533.3272349,3,6,12
3,4,3,1,0,868.5,868.5,868.5,868.5,60827.6681176,66910.4349294,72993.2017411,3,6,12
3,4,3,1,0,863.3,863.3,863.3,863.3,57164.8860755,62881.374683,68597.8632906,3,6,12
3,4,3,1,0,436.1,436.1,436.1,436.1,32579.335271,35837.2687981,39095.2023252,3,6,12
3,4,3,1,0,378.38,378.38,378.38,378.38,29105.5412791,32016.095407,34926.6495349,3,6,12
3,4,3,1,0,378.38,378.38,378.38,378.38,32989.1230879,36288.0353966,39586.9477054,3,6,12
3,4,3,1,0,769.83,769.83,769.83,769.83,50079.2797278,55087.2077005,60095.1356733,3,6,12
3,4,3,1,0,500.75,500.75,500.75,500.75,39506.9156991,43457.607269,47408.2988389,3,6,12
3,4,3,1,0,533.0,533.0,533.0,533.0,36926.3022998,40618.9325298,44311.5627598,3,6,12
3,4,3,1,0,382.0,382.0,382.0,382.0,28452.6249582,31297.887454,34143.1499498,3,6,12
3,4,3,1,0,846.0,846.0,846.0,846.0,53956.0905236,59351.6995759,64747.3086283,3,6,12
3,6,12,1,0,330.0,330.0,330.0,330.0,9496.53486406,10446.1883505,11395.8418369,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9561.01604762,10517.1176524,11473.2192571,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8667.47178831,9534.21896714,10400.966146,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9090.32852672,9999.36137939,10908.3942321,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8483.77645453,9332.15409998,10180.5317454,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9845.1875931,10829.7063524,11814.2251117,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8861.95011531,9748.14512684,10634.3401384,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,7907.72075721,8698.49283293,9489.26490866,12,24,48
3,6,12,1,0,673.2,673.2,673.2,673.2,19411.2644805,21352.3909286,23293.5173767,12,24,48
3,6,12,1,0,673.2,673.2,673.2,673.2,17523.4116577,19275.7528235,21028.0939892,12,24,48
3,4,3,1,0,101.7,101.7,101.7,101.7,9797.9713589,10777.7684948,11757.5656307,3,6,12
3,4,3,1,0,465.8,465.8,465.8,465.8,35563.029225,39119.3321475,42675.63507,3,6,12
3,4,3,1,0,346.33,346.33,346.33,346.33,26817.2330656,29498.9563722,32180.6796788,3,6,12
3,6,12,-24,0,0.0,0.0,0.0,0.0,8493.63539596,9342.99893555,10192.3624751,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8546.18177907,9400.79995697,10255.4181349,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9238.59542148,10162.4549636,11086.3145058,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8889.98935773,9778.9882935,10667.9872293,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9222.89814549,10145.18796,11067.4777746,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9365.1344974,10301.6479471,11238.1613969,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,7916.36190934,8707.99810028,9499.63429121,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9363.54049834,10299.8945482,11236.248598,12,24,48
3,6,12,1,0,693.0,693.0,693.0,693.0,15496.156252,17045.7718772,18595.3875024,12,24,48
3,6,12,1,0,693.0,693.0,693.0,693.0,15469.7822846,17016.7605131,18563.7387415,12,24,48
3,4,3,-24,0,0.0,0.0,0.0,0.0,9650.00337251,10615.0037098,11580.004047,3,6,12
3,4,3,1,0,530.441,530.441,530.441,530.441,45176.3805517,49694.0186069,54211.6566621,3,6,12
3,4,3,1,0,431.2,431.2,431.2,431.2,29490.0659806,32439.0725787,35388.0791767,3,6,12
3,6,12,1,0,686.4,686.4,686.4,686.4,17535.6246704,19289.1871374,21042.7496044,12,24,48
3,6,12,1,0,132.0,132.0,132.0,132.0,3864.9188404,4251.41072443,4637.90260847,12,24,48
3,6,12,1,0,132.0,132.0,132.0,132.0,4022.0908964,4424.29998604,4826.50907568,12,24,48
3,6,12,1,0,392.7,392.7,392.7,392.7,11074.9624423,12182.4586865,13289.9549308,12,24,48
3,6,12,1,0,392.7,392.7,392.7,392.7,9941.03197243,10935.1351697,11929.2383669,12,24,48
3,4,3,1,0,848.0,848.0,848.0,848.0,47903.424879,52693.767367,57484.1098549,3,6,12
3,6,12,1,0,674.52,674.52,674.52,674.52,15575.92581,17133.518391,18691.110972,12,24,48
3,6,12,1,0,674.52,674.52,674.52,674.52,17506.7557817,19257.4313599,21008.1069381,12,24,48
3,8,12,1,0,171.0,171.0,902.5,902.5,0.0,0.0,0.0,12,24,48
3,8,12,1,0,171.0,171.0,902.5,902.5,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,252.0,252.0,1330.0,1330.0,0.0,0.0,0.0,12,24,48
3,4,3,1,0,361.6,361.6,361.6,361.6,25083.3292413,27591.6621655,30099.9950896,3,6,12
3,4,3,1,0,88.0,88.0,88.0,88.0,11248.2550467,12373.0805513,13497.906056,3,6,12
3,4,3,1,0,48.3,48.3,48.3,48.3,7316.4865195,8048.13517145,8779.7838234,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,36813.5043697,40494.8548066,44176.2052436,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,34996.5122999,38496.1635299,41995.8147599,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,29450.41134,32395.452474,35340.493608,3,6,12
3,6,12,1,0,363.0,363.0,363.0,363.0,10171.1356825,11188.2492508,12205.362819,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9841.48495855,10825.6334544,11809.7819503,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9806.31301858,10786.9443204,11767.5756223,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8651.76238742,9516.93862617,10382.1148649,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9779.15593911,10757.071533,11734.9871269,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8466.15847031,9312.77431734,10159.3901644,12,24,48
3,6,12,1,0,672.5598,672.5598,672.5598,672.5598,16236.7809248,17860.4590173,19484.1371098,12,24,48
3,6,12,1,0,672.5598,672.5598,672.5598,672.5598,17350.5071812,19085.5578994,20820.6086175,12,24,48
3,6,12,1,0,671.88,671.88,671.88,671.88,16075.9653423,17683.5618766,19291.1584108,12,24,48
3,4,3,1,0,718.4,718.4,718.4,718.4,49730.8542302,54703.9396532,59677.0250763,3,6,12
3,8,12,1,0,171.0,171.0,902.5,902.5,0.0,0.0,0.0,12,24,48
3,8,12,1,0,171.0,171.0,902.5,902.5,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,4,3,1,0,115.246,115.246,115.246,115.246,12141.8044487,13355.9848936,14570.1653385,3,6,12
3,4,3,1,0,525.5,525.5,525.5,525.5,35069.3144388,38576.2458827,42083.1773266,3,6,12
3,4,3,1,0,864.2,864.2,864.2,864.2,54542.3990365,59996.6389402,65450.8788438,3,6,12
3,4,3,1,0,494.6,494.6,494.6,494.6,33636.8047203,37000.4851923,40364.1656643,3,6,12
3,4,3,1,0,494.6,494.6,494.6,494.6,38454.2618018,42299.687982,46145.1141622,3,6,12
3,6,12,1,0,224.4,224.4,224.4,224.4,6614.78069336,7276.25876269,7937.73683203,12,24,48
3,6,12,1,0,216.876,216.876,216.876,216.876,6628.52465536,7291.3771209,7954.22958644,12,24,48
3,4,3,1,0,370.7,370.7,370.7,370.7,24690.9945085,27160.0939594,29629.1934102,3,6,12
3,4,3,-24,0,0.0,0.0,0.0,0.0,8854.06753985,9739.47429384,10624.8810478,3,6,12
3,8,12,1,0,126.0,126.0,665.0,665.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,126.0,126.0,665.0,665.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,126.0,126.0,665.0,665.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,4,3,1,0,300.0,300.0,300.0,300.0,25613.3605496,28174.6966045,30736.0326595,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,34107.0854126,37517.7939538,40928.5024951,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,31967.2568089,35163.9824898,38360.7081707,3,6,12
3,4,3,1,0,871.9,871.9,871.9,871.9,62439.8597299,68683.8457028,74927.8316758,3,6,12
3,4,3,1,0,442.8,442.8,442.8,442.8,29228.0323037,32150.835534,35073.6387644,3,6,12
3,4,3,1,0,45.836,45.836,45.836,45.836,6883.87373325,7572.26110658,8260.6484799,3,6,12
3,8,12,1,0,117.0,117.0,617.5,617.5,0.0,0.0,0.0,12,24,48
3,8,12,1,0,171.0,171.0,902.5,902.5,0.0,0.0,0.0,12,24,48
3,8,12,1,0,171.0,171.0,902.5,902.5,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,180.0,180.0,950.0,950.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,252.0,252.0,1330.0,1330.0,0.0,0.0,0.0,12,24,48
3,8,12,1,0,252.0,252.0,1330.0,1330.0,0.0,0.0,0.0,12,24,48
3,4,3,1,0,26.3,26.3,26.3,26.3,8526.66846073,9379.33530681,10232.0021529,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,33934.5758864,37328.033475,40721.4910637,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,30065.3254365,33071.8579802,36078.3905239,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,36825.977475,40508.5752225,44191.17297,3,6,12
3,4,3,1,0,450.0,450.0,450.0,450.0,26388.4225601,29027.2648161,31666.1070721,3,6,12
3,6,12,1,0,369.6,369.6,369.6,369.6,10255.2795731,11280.8075304,12306.3354877,12,24,48
3,6,12,1,0,369.6,369.6,369.6,369.6,10468.145241,11514.959765,12561.7742891,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9759.84464753,10735.8291123,11711.813577,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9572.30165011,10529.5318151,11486.7619801,12,24,48
3,6,12,1,0,686.4,686.4,686.4,686.4,18387.3461157,20226.0807273,22064.8153389,12,24,48
3,6,12,1,0,686.4,686.4,686.4,686.4,16712.8692353,18384.1561588,20055.4430823,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8453.05186416,9298.35705057,10143.662237,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9495.62322086,10445.1855429,11394.747865,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8401.59583616,9241.75541977,10081.9150034,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8490.40256718,9339.4428239,10188.4830806,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9044.46902831,9948.91593114,10853.362834,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,9133.16720306,10046.4839234,10959.8006437,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8848.46471727,9733.31118899,10618.1576607,12,24,48
3,6,12,1,0,330.0,330.0,330.0,330.0,8635.86001808,9499.44601989,10363.0320217,12,24,48
3,6,12,-24,0,686.4,686.4,686.4,686.4,17044.0077599,18748.4085359,20452.8093119,12,24,48
3,4,3,-24,0,495.0,495.0,495.0,495.0,37557.5301121,41313.2831233,45069.0361346,3,6,12
3,6,12,-24,0,1025.4,1025.4,1025.4,1025.4,55206.8371827,60727.5209009,66248.2046192,12,24,48
3,4,3,-24,0,0.0,0.0,0.0,0.0,26894.9283068,29584.4211375,32273.9139682,3,6,12
3,4,3,-24,0,118.972,118.972,118.972,118.972,11046.63857,12151.302427,13255.966284,3,6,12
3,8,12,-24,0,252.0,252.0,1330.0,1330.0,0.0,0.0,0.0,12,24,48
3,6,12,-24,0,693.0,693.0,693.0,693.0,17826.6115663,19609.272723,21391.9338796,12,24,48
3,6,12,-24,0,597.171,597.171,597.171,597.171,39465.0371241,43411.5408365,47358.0445489,12,24,48
3,4,3,-24,0,270.0,270.0,270.0,270.0,23616.8419714,25978.5261685,28340.2103656,3,6,12
3,6,12,-24,0,1012.0,1012.0,1012.0,1012.0,57205.0997118,62925.6096829,68646.1196541,12,24,48
3,6,12,-24,0,1104.6,1104.6,1104.6,1104.6,63383.9449653,69722.3394618,76060.7339583,12,24,48
3,6,12,-24,0,1050.0,1050.0,1050.0,1050.0,63948.9760427,70343.873647,76738.7712513,12,24,48
3,4,3,-24,0,270.0,270.0,270.0,270.0,27412.008772,30153.2096492,32894.4105264,3,6,12
3,6,12,-24,0,561.0,561.0,561.0,561.0,39375.2133124,43312.7346436,47250.2559748,12,24,48
3,4,3,-24,0,495.46,495.46,495.46,495.46,42209.2597187,46430.1856905,50651.1116624,3,6,12
3,4,3,-24,0,285.0,285.0,285.0,285.0,23882.5776595,26270.8354255,28659.0931914,3,6,12
3,6,12,-24,0,498.0,498.0,498.0,498.0,37093.8572837,40803.243012,44512.6287404,12,24,48
3,6,12,-24,0,500.0,500.0,500.0,500.0,37647.5343667,41412.2878034,45177.04124,12,24,48
