bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
35,1,608.182644711,60.8182644711,0,0,1,0.998002838804,-21.1118708616,154,1,1.1,0.9
36,2,701.608165714,70.1608165714,0,0,1,1.00237523508,-20.8711464415,345,1,1.05,0.95
37,1,860.157870504,86.0157870504,0,0,1,1.00131462685,-20.8147785649,345,1,1.05,0.95
38,1,348.373755238,34.8373755238,0,0,1,0.999334334309,-19.748805455,345,1,1.05,0.95
39,1,672.111056941,67.2111056941,0,0,1,0.995037875629,-22.256820669,154,1,1.1,0.9
40,2,1017.48694451,101.880589653,0,0,1,1.00265648058,-19.5497503414,345,1,1.05,0.95
41,1,184.085891634,18.4085891634,0,0,1,0.986080306361,-16.8317368159,154,1,1.1,0.9
42,2,1123.47831895,112.347831895,0,0,1,0.991579132954,-18.5147590472,154,1,1.1,0.9
43,1,585.565005832,58.5568223754,0,0,1,0.998477903633,-21.520291966,154,1,1.1,0.9
44,1,180.662811475,18.0664326144,0,0,1,1.00252722643,-20.344454193,345,1,1.05,0.95
45,1,330.787484844,33.0787484844,0,0,1,1.00858761985,-19.3582421798,345,1,1.05,0.95
46,1,1040.61010754,104.061010754,0,0,1,1.00660425054,-19.7434918032,345,1,1.05,0.95
47,1,2635.70461971,263.570529574,0,0,1,0.998748746115,-20.5634702443,345,1,1.05,0.95
48,1,183.852177227,18.3852177227,0,0,1,1.01091969527,-19.1978135477,154,1,1.1,0.9
49,1,376.148630603,37.6148630603,0,0,1,1.01646571671,-18.2070701636,154,1,1.1,0.9
50,1,447.306675657,44.7306675657,0,0,1,1.01872552654,-17.2162163205,765,1,1.05,0.95
51,1,1792.02308208,179.202308208,0,0,1,1.02858326633,-16.859380012,345,1,1.05,0.95
52,1,412.397130736,41.2397130736,0,0,2,0.999240673902,-17.5453444932,154,1,1.1,0.9
53,2,855.887747101,85.5887747101,0,0,2,1.03468334653,-13.273455739,765,1,1.05,0.95
54,1,367.739545934,36.7739545934,0,0,2,1.01601340222,-17.0902610206,345,1,1.05,0.95
55,1,1070.42542395,107.042582009,0,0,2,1.02235127853,-15.732564007,345,1,1.05,0.95
56,1,148.720200663,14.8720200663,0,0,2,1.00655065431,-17.7253390874,154,1,1.1,0.9
57,1,1685.44639138,168.544669315,0,0,2,1.01879608689,-15.8734790702,345,1,1.05,0.95
58,1,1261.6780415,126.167888639,0,0,2,1.03133697162,-10.9967918742,345,1,1.05,0.95
59,2,114.559836273,11.4564317547,0,0,2,1.03369506214,-9.14193964346,345,1,1.05,0.95
60,1,166.840790547,16.6840790547,0,0,2,1.01952981327,-14.0118871265,345,1,1.05,0.95
61,1,798.741226603,79.8741283718,0,0,2,1.01714747939,-16.8360524038,154,1,1.1,0.9
62,1,940.120099975,94.0120367099,0,0,2,1.01937228923,-16.3702504682,765,1,1.05,0.95
63,1,130.248434735,13.0248434735,0,0,2,1.02872716193,-13.4606032603,765,1,1.05,0.95
64,1,474.585042225,47.4585042225,0,0,2,1.01188063549,-15.128157501,345,1,1.05,0.95
65,1,79.4950918495,11.2864045234,0,0,3,0.972525104459,2.36252677626,154,1,1.1,0.9
66,1,27.3918802296,3.26034284506,0,0,3,0.970092140437,-14.9554399892,154,1,1.1,0.9
67,1,23.3072644938,2.58316206595,0,0,3,0.960603662144,-8.87170996631,154,1,1.1,0.9
68,1,37.859029187,4.07839028201,0,0,3,0.982850782847,5.49641850984,345,1,1.05,0.95
69,1,40.2228920662,4.24376337294,0,0,3,0.960706296505,-4.55572593247,154,1,1.1,0.9
70,1,234.003673448,23.4063702849,0,0,3,0.967253980619,-15.9336775823,154,1,1.1,0.9
71,2,263.970953542,26.3970953542,0,0,3,0.996385121506,9.22999514598,345,1,1.05,0.95
72,1,92.1602395563,9.21602395563,0,0,3,0.96021549107,-12.0019669434,154,1,1.1,0.9
73,2,291.515768503,29.9287685374,0,0,3,0.997443272726,8.91841519142,345,1,1.05,0.95
74,1,73.3286688333,8.51130114249,0,0,3,0.961079290298,-10.8065201092,154,1,1.1,0.9
75,2,169.990069483,17.6635976266,0,0,3,1.00257094668,10.5421134042,345,1,1.05,0.95
76,1,75.1237682618,7.86321377752,0,0,3,0.976756395506,2.04904109061,154,1,1.1,0.9
77,1,324.27377029,32.427377029,0,0,3,0.963661919112,-12.0919858788,154,1,1.1,0.9
78,1,12.657471192,7.84827754643,0,0,3,0.965708741559,-3.7800934546,154,1,1.1,0.9
79,1,143.06115552,14.306115552,0,0,3,0.97171666975,-1.53695459011,154,1,1.1,0.9
80,1,-292.916635745,3.7960861122,0,0,3,0.984602231869,1.5040321402,765,1,1.05,0.95
81,1,207.201344229,20.7202328452,0,0,3,0.971443349691,-4.51892780193,345,1,1.05,0.95
82,2,60.5160233247,9.00928744417,0,0,3,0.992130108404,6.25547815977,765,1,1.05,0.95
83,1,236.922852692,23.692354785,0,0,3,0.965612800611,-5.43812205063,154,1,1.1,0.9
84,1,334.644052671,34.5601754618,0,0,3,0.981937180512,-15.0298785704,345,1,1.05,0.95
85,1,223.140912275,22.3140912275,0,0,3,0.974212824766,-3.05255012325,154,1,1.1,0.9
86,1,218.514879889,21.8515113153,0,0,3,0.976867839085,-3.86086484751,345,1,1.05,0.95
87,1,26.5538344528,4.99898998904,0,0,3,0.977808411326,-5.24040973851,345,1,1.05,0.95
88,1,-143.30533877,1.40563769328,0,0,3,0.980859168417,-4.30667263615,154,1,1.1,0.9
89,1,75.8233156919,7.58240054444,0,0,3,0.973824032838,-8.70156120108,154,1,1.1,0.9
90,1,146.700929178,15.1853384066,0,0,3,0.977154538019,-5.63901999659,154,1,1.1,0.9
91,1,50.8332865359,5.08332865359,0,0,3,1.00049252977,-14.5582744462,154,1,1.1,0.9
92,1,-4.03912256914,2.57993170302,0,0,3,0.979211368934,-5.7675758204,345,1,1.05,0.95
93,1,100.584994938,10.0586248372,0,0,3,0.979498877177,-11.3469765265,154,1,1.1,0.9
94,1,-12.8322036535,3.71808728674,0,0,3,0.97810545447,-4.4120430336,154,1,1.1,0.9
95,1,57.1347776621,5.71347776621,0,0,3,0.979011889957,-7.38279518576,345,1,1.05,0.95
96,1,147.817243708,14.7817243708,0,0,4,1.01193638225,-13.457484911,154,1,1.1,0.9
97,1,45.9941894379,4.59941894379,0,0,4,1.01752001449,-11.0708602577,345,1,1.05,0.95
98,1,234.600762269,23.7127846478,0,0,4,1.0051451812,-15.3743267029,154,1,1.1,0.9
99,1,760.809569738,76.0809569738,0,0,4,1.00261653761,-15.8007566933,154,1,1.1,0.9
100,2,178.294005371,17.8294005371,0,0,4,1.02142691531,-8.97019550678,345,1,1.05,0.95
101,1,278.06205184,27.806205184,0,0,4,1.00241482912,-15.4560257219,154,1,1.1,0.9
102,1,81.8604859238,8.18604859238,0,0,4,1.00918044604,-13.6147535032,345,1,1.05,0.95
103,1,85.8173782937,8.58173782937,0,0,4,1.01355275371,-11.2343219589,154,1,1.1,0.9
104,1,181.291459803,18.1291459803,0,0,4,1.01156586323,-12.4565884667,345,1,1.05,0.95
105,1,121.532096211,12.1532096211,0,0,4,1.00484622644,-13.7575382289,154,1,1.1,0.9
106,2,143.831002718,14.3831002718,0,0,4,1.00475255192,-9.43046293743,154,1,1.1,0.9
107,1,3.46337665049,2.73098642854,0,0,4,1.00415561231,-12.9541224172,345,1,1.05,0.95
108,1,746.524649665,74.6524649665,0,0,4,1.00311876999,-10.3135360844,345,1,1.05,0.95
109,1,390.931066862,39.0931066862,0,0,4,1.00377381609,-10.3588831501,345,1,1.05,0.95
110,1,228.776854615,22.8776854615,0,0,4,0.994084720389,-11.5927291868,154,1,1.1,0.9
111,1,144.875665823,14.4875665823,0,0,4,1.0016430055,-8.71054560255,345,1,1.05,0.95
112,1,26.7838053911,2.67838053911,0,0,4,0.993228359232,-12.1628163962,154,1,1.1,0.9
113,1,569.329840761,56.9329840761,0,0,4,0.992878632858,-11.2659594735,154,1,1.1,0.9
114,1,62.9417132872,6.29761603389,0,0,4,0.999058177245,-8.75850707068,154,1,1.1,0.9
115,1,27.4614428536,2.74614428536,0,0,4,0.992740294113,-12.3691723159,154,1,1.1,0.9
116,1,38.7665042339,3.8766504234,0,0,4,0.996980936359,-9.57380966628,154,1,1.1,0.9
117,1,222.986319603,23.4077604826,0,0,4,0.997103121389,-8.27725279989,154,1,1.1,0.9
118,1,85.0129440494,8.50129440494,0,0,4,1.00324558752,-3.71665239475,154,1,1.1,0.9
119,1,85.643972949,8.5643972949,0,0,4,1.00292493437,-7.4235243773,345,1,1.05,0.95
120,1,35.1160598067,3.51160598067,0,0,4,0.995910894307,-8.70006641076,154,1,1.1,0.9
121,1,81.7213989877,8.17213989877,0,0,4,0.995431408814,-6.450464825,154,1,1.1,0.9
122,1,67.673416969,6.7673416969,0,0,4,0.997455402983,-7.52412635705,154,1,1.1,0.9
123,1,55.0408174598,5.50408174598,0,0,4,0.996562031926,-8.46492780386,154,1,1.1,0.9
124,2,106.965039867,10.6965039867,0,0,4,1.01088272629,-0.696055391523,345,1,1.05,0.95
125,1,22.7810432109,2.27810432109,0,0,4,0.996208692832,-8.63276506983,154,1,1.1,0.9
126,1,379.519020697,37.9519020697,0,0,4,0.99873908199,-6.72710401232,345,1,1.05,0.95
127,1,299.058806438,29.9058806438,0,0,4,0.996513844543,-7.54763169952,154,1,1.1,0.9
128,1,451.848391319,45.1848391319,0,0,4,0.987667745692,-9.50781508368,154,1,1.1,0.9
129,1,53.4813110658,5.34813110658,0,0,4,0.991581317849,-11.4193111294,154,1,1.1,0.9
130,1,64.9749071904,6.76554182733,0,0,4,0.997605425681,-7.66360167713,345,1,1.05,0.95
131,1,173.377876542,17.3377876542,0,0,4,0.992552549408,-9.23174727169,154,1,1.1,0.9
132,1,93.0699796026,9.30699796025,0,0,4,0.992228388844,-11.2273391712,154,1,1.1,0.9
133,1,271.621559809,27.8563396107,0,0,4,0.996793363848,-8.51145213771,345,1,1.05,0.95
134,1,634.653219069,63.4653219069,0,0,4,0.997820903218,-7.91603316229,345,1,1.05,0.95
135,1,134.637538705,13.4689411429,0,0,4,0.991787215671,-11.2059337408,154,1,1.1,0.9
136,1,154.886365775,15.4886365775,0,0,4,0.996254645682,-9.19255403598,345,1,1.05,0.95
137,2,1841.60669667,184.328021103,0,0,4,0.994762262028,-8.85485722046,345,1,1.05,0.95
138,1,39.832053885,3.9832053885,0,0,4,0.995132828226,-9.83764051382,154,1,1.1,0.9
139,1,42.2594600736,4.22594600735,0,0,4,0.992317039982,-11.4245112275,154,1,1.1,0.9
140,1,46.7912502463,4.88686751693,0,0,4,0.993721500552,-10.3568609706,154,1,1.1,0.9
141,1,50.7961474361,5.07961474361,0,0,4,0.993324114513,-10.4894975055,154,1,1.1,0.9
142,1,69.0211700509,6.90211700509,0,0,4,0.995371076784,-9.62958489425,154,1,1.1,0.9
143,1,99.2318083772,9.92384952901,0,0,4,0.991362396101,-11.1011503098,154,1,1.1,0.9
144,1,45.6273449593,4.56506695548,0,0,4,0.991357399978,-11.4901925645,154,1,1.1,0.9
145,1,135.075965828,14.1804671944,0,0,4,0.985204909507,-12.830119352,154,1,1.1,0.9
146,1,38.1851826667,4.14745691892,0,0,5,0.976080235335,-9.89782689707,154,1,1.1,0.9
147,1,56.2208737385,5.62208737385,0,0,5,1.0022242997,-13.8322253981,154,1,1.1,0.9
148,1,304.386286056,30.4386286056,0,0,5,0.970614503813,-14.8504740429,154,1,1.1,0.9
149,1,1204.18393333,120.418393333,0,0,5,0.975516623119,-13.3333128934,345,1,1.05,0.95
150,1,661.810066858,66.9644631192,0,0,5,0.979268702584,-10.2335046493,345,1,1.05,0.95
151,1,557.203375925,56.5955286789,0,0,5,0.981255979786,-10.4352986163,345,1,1.05,0.95
152,1,253.644336185,25.3644336185,0,0,5,0.981121872913,-12.1471765052,345,1,1.05,0.95
153,1,198.757985144,19.8757985144,0,0,5,0.978318765636,-12.3524549572,154,1,1.1,0.9
154,1,136.043242915,13.6043343167,0,0,5,0.976652057211,-13.316977831,154,1,1.1,0.9
155,1,381.208421387,38.1210293662,0,0,5,0.97616566562,-13.4837346502,154,1,1.1,0.9
156,1,410.687724756,41.0687724756,0,0,5,0.979821154528,-12.4303565469,154,1,1.1,0.9
157,1,193.337489878,19.3337489878,0,0,5,0.975952255836,-13.5625517816,154,1,1.1,0.9
158,1,424.777443747,50.57971312,0,0,5,0.980165491364,-10.9861712996,154,1,1.1,0.9
159,1,351.786254221,35.1786254221,0,0,5,0.983143014187,-11.5262889704,345,1,1.05,0.95
160,1,1003.98800015,100.398800015,0,0,5,0.975269027529,-13.8091988055,154,1,1.1,0.9
161,1,165.551264589,16.5551264589,0,0,5,0.991034827227,-10.558488932,345,1,1.05,0.95
162,1,59.7360593106,5.97360593106,0,0,5,0.990663060416,-10.682148085,154,1,1.1,0.9
163,1,62.8305589495,6.28305589495,0,0,5,0.988312137123,-10.170137815,345,1,1.05,0.95
164,1,50.3271415133,5.28396709948,0,0,5,0.990412093676,-10.8405950431,154,1,1.1,0.9
165,1,1540.70466814,154.070521164,0,0,5,0.985211986047,-10.3007814332,345,1,1.05,0.95
166,2,494.166638012,49.4876355405,0,0,5,0.993549167795,-7.7508487738,345,1,1.05,0.95
167,1,2056.27138198,205.627207517,0,0,5,0.992268166581,-8.10597634405,345,1,1.05,0.95
168,1,130.949107841,13.0949107841,0,0,5,0.994728633046,-8.64903268581,765,1,1.05,0.95
169,1,36.903706385,3.6903706385,0,0,5,0.992236067288,-9.90572637732,154,1,1.1,0.9
170,1,145.386815303,16.2161935569,0,0,5,0.989121557626,-9.15127706042,154,1,1.1,0.9
171,1,25.8498430645,4.5395128371,0,0,5,0.996970356232,-7.52635364028,345,1,1.05,0.95
172,1,471.224190036,47.8754560978,0,0,5,0.989289124622,-8.41739469051,154,1,1.1,0.9
173,1,48.278016695,4.96800268228,0,0,5,0.996251857594,-7.44649285833,345,1,1.05,0.95
174,1,360.248663385,36.0248663385,0,0,5,0.993068769675,-7.11244271165,345,1,1.05,0.95
175,2,163.154087282,16.3336484784,0,0,5,1.00138234897,-5.22751404794,765,1,1.05,0.95
176,1,473.314320874,47.3314320874,0,0,5,0.991115253677,-6.46748359495,345,1,1.05,0.95
177,1,605.180502112,60.5181227879,0,0,5,0.989020944174,-7.22556295577,345,1,1.05,0.95
178,1,684.070797829,68.4071123095,0,0,5,0.983180287237,-9.02918581013,154,1,1.1,0.9
179,1,365.12610845,36.512610845,0,0,5,0.996442479025,-6.5471161544,345,1,1.05,0.95
180,1,341.500872682,34.1500872682,0,0,5,0.992439549994,-6.3969782803,154,1,1.1,0.9
181,1,309.592543115,30.9592543115,0,0,5,0.994775961335,-6.94904988254,345,1,1.05,0.95
182,1,558.916222166,55.891759528,0,0,5,0.984646672464,-8.61125956928,345,1,1.05,0.95
183,1,252.8374931,25.283795432,0,0,5,0.989025886728,-6.6523283854,345,1,1.05,0.95
184,1,499.560535793,49.9561657678,0,0,5,0.996187553952,-6.62384513816,345,1,1.05,0.95
185,1,285.491819415,28.5491819415,0,0,5,0.994248034928,-7.12012950713,154,1,1.1,0.9
186,1,427.509120606,42.751213991,0,0,5,0.993745511273,-7.27218124981,345,1,1.05,0.95
187,1,59.0852855731,5.90852855731,0,0,5,0.993720228878,-7.28037497522,345,1,1.05,0.95
188,1,53.9582866338,5.3962641858,0,0,5,0.998648822112,-6.78076698557,154,1,1.1,0.9
189,1,98.3414977685,9.85035037749,0,0,5,0.997490556933,-0.900545032984,154,1,1.1,0.9
190,3,176.493318394,17.6752900628,0,0,5,1.0,0.0,345,1,1.05,0.95
191,1,246.001507908,24.6002882457,0,0,5,0.99509487663,-1.32377136634,154,1,1.1,0.9
192,2,122.879305297,12.2879983612,0,0,5,1.00000924136,0.238930812895,154,1,1.1,0.9
193,2,35.0503108398,3.50503108398,0,0,5,1.00651224611,-4.37624273327,345,1,1.05,0.95
