Type,id,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--can_retire,edges--transmission_edge--can_expand,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--lifetime,edges--transmission_edge--wacc,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--investment_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--fixed_om_cost,Note
TransmissionLink,NE_to_BR_RN_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_BR_RN,380.991,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,NE_to_BR_PB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_BR_PB,358.322,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,NE_to_BR_PE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_BR_PE,357.4,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,NE_to_BR_AL_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_BR_AL,351.256,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,NE_to_BR_SE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_BR_SE,393.007,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,NE_to_BR_PI_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_BR_PI,597.96,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,NE_to_BR_MA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_BR_MA,900.207,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,NE_to_BR_BA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_NE,elec_BR_BA,613.124,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,S_to_BR_RS_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_S,elec_BR_RS,316.879,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,S_to_BR_SC_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_S,elec_BR_SC,135.647,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,S_to_BR_PR_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_S,elec_BR_PR,232.168,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SE_to_BR_GO_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_SE,elec_BR_GO,646.882,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SE_to_BR_MG_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_SE,elec_BR_MG,276.889,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SE_to_BR_RJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_SE,elec_BR_RJ,316.23,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SE_to_BR_ES_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_SE,elec_BR_ES,599.863,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SE_to_BR_SP_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_SE,elec_BR_SP,233.218,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SE_to_BR_MS_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_SE,elec_BR_MS,910.977,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SE_to_BR_MT_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_SE,elec_BR_MT,1259.487,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,BR_AC_to_BR_RO_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_BR_AC,elec_BR_RO,469.3,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,BR_RO_to_BR_MT_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_BR_RO,elec_BR_MT,1155.08,0.012305837,100000,1000,50,0.08,20,12060,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
