Type,id,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--can_retire,edges--transmission_edge--can_expand,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--lifetime,edges--transmission_edge--wacc,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--investment_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--fixed_om_cost,Note
TransmissionLink,SJG_to_CNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SJG,elec_CNA,43.918,0.001318,100000,1000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,SJG_to_DJJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SJG,elec_DJJ,16.754,0.001,100000,800,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,GNB_to_TAE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNB,elec_TAE,73.663,0.00221,100000,3000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,GNB_to_USN_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNB,elec_USN,112.628,0.003379,100000,2500,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,GNB_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNB,elec_GNA,129.797,0.003894,100000,3000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,TAE_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_TAE,elec_GNA,57.588,0.001728,100000,2500,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,USN_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_USN,elec_GNA,99.791,0.002994,100000,2000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,USN_to_PUS_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_USN,elec_PUS,45.266,0.001358,100000,3000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,GNA_to_PUS_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNA,elec_PUS,84.251,0.002528,100000,4000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,JNB_to_JNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNB,elec_JNA,126.075,0.003782,100000,2000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,JNB_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNB,elec_GNA,107.496,0.003225,100000,1500,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,JNA_to_KWJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNA,elec_KWJ,52.132,0.001564,100000,1500,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,JNA_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNA,elec_GNA,174.535,0.005236,100000,1000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
TransmissionLink,JEJ_to_JNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JEJ,elec_JNA,147.603,0.015,100000,400,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost and some existing capacity values are placeholders, distance for record-purpose only."
