Type,id,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--h2_edge--unidirectional,edges--h2_edge--commodity,edges--h2_edge--has_capacity,edges--natgas_edge--unidirectional,edges--natgas_edge--commodity,edges--natgas_edge--has_capacity,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--MinFlowConstraint,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--commodity,edges--co2_emission_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--start_vertex,edges--h2_edge--start_vertex,edges--natgas_edge--end_vertex,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--availability--timeseries--path,edges--co2_captured_edge--availability--timeseries--header,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--min_flow_fraction,edges--co2_captured_edge--start_vertex,transforms--h2_consumption,transforms--emission_rate,transforms--electricity_consumption,transforms--natgas_production
SyntheticNaturalGas,BR_MT_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_MT,h2_BR_MT,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_MT,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_MS_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_MS,h2_BR_MS,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_MS,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_MG_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_MG,h2_BR_MG,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_MG,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_PA_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_PA,h2_BR_PA,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_PA,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_PB_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_PB,h2_BR_PB,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_PB,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_PR_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_PR,h2_BR_PR,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_PR,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_PE_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_PE,h2_BR_PE,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_PE,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_PI_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_PI,h2_BR_PI,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_PI,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_RJ_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_RJ,h2_BR_RJ,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_RJ,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_RN_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_RN,h2_BR_RN,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_RN,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_RS_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_RS,h2_BR_RS,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_RS,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_RO_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_RO,h2_BR_RO,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_RO,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_RR_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_RR,h2_BR_RR,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_RR,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_SC_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_SC,h2_BR_SC,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_SC,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_SP_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_SP,h2_BR_SP,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_SP,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_SE_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_SE,h2_BR_SE,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_SE,7,0.044548717,0.291,5.56
SyntheticNaturalGas,BR_TO_Synthetic_natgas,TRUE,Electricity,FALSE,TRUE,Hydrogen,FALSE,TRUE,NaturalGas,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CO2Captured,TRUE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,elec_BR_TO,h2_BR_TO,natgas_nonfossil_BR,0,0,system/availability_monthly.csv,Availability_One,91214,0.85,co2_captured_BR_TO,7,0.044548717,0.291,5.56
